mapped_id,pharmacologicalFamily,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
AA,alpha,14.596722,14.194149,10.477662,-0.8935584,0.05780403,-0.4206778,26.22942328453064
AB,alpha,13.355961,14.704269,10.718008,-1.0218618,-0.21849163,-0.30308136,23.10769557952881
AC,alpha,13.848274,14.172322,10.493065,-1.0261244,-0.19066486,-0.36064357,7.860120385885239
AD,alpha,15.198884,16.199669,6.934975,-1.2397412,-1.0600524,0.50785774,
AE,alpha,15.005005,16.416662,6.95751,-1.097738,-1.1028488,0.4078241,
AF,alpha,14.878472,14.6911335,9.29243,-0.88300914,-0.27128142,0.079014845,
AG,alpha,13.696901,13.409156,7.6949215,-0.66656995,-0.105371825,0.49777204,
AH,alpha,13.9338455,13.676139,7.565323,-0.6606046,-0.115964994,0.45302382,
AI,alpha,14.1687155,15.960764,7.7273774,-0.9924429,-0.8047778,0.36593917,
AJ,alpha,14.477224,16.265728,8.01326,-1.0041993,-0.9499842,0.3023861,
AK,alpha,14.253366,15.481592,8.115299,-0.83022374,-0.4988988,0.16502644,
AL,alpha,13.342332,14.565674,9.285993,-1.133228,-0.21891676,-0.084805824,
AM,alpha,13.325541,14.8362875,9.268201,-1.133228,-0.21891676,-0.084805824,
AN,alpha,13.6766615,14.760732,9.365195,-1.133228,-0.21891676,-0.084805824,
AO,alpha,14.848694,15.975716,6.483453,-1.1279877,-1.1742098,0.6225444,
AP,alpha,14.146604,15.323056,9.775559,-1.0730432,-0.48666704,0.037995506,
AQ,alpha,14.658185,15.913847,8.614054,-0.99607277,-1.0985559,0.34054676,
AR,alpha,13.672354,14.783849,7.8093305,-0.8566399,-0.55319923,0.7006482,
AS,alpha,13.496624,14.45659,10.631962,-1.0728678,-0.30212897,-0.041256726,
AT,alpha,14.092032,14.315502,10.6424265,-1.0261244,-0.19066486,-0.3606438,
AU,alpha,14.143252,14.8861685,7.0044684,-0.96801805,-0.67537695,0.58854586,
AV,alpha,14.148589,14.84469,10.919516,-0.9151008,-0.17598028,-0.6020724,
AW,alpha,14.674376,10.9220085,10.267297,0.3339694,2.1340485,2.015945,
AX,alpha,14.631927,10.980154,10.122323,0.24863768,2.007596,1.9726963,
AY,alpha,14.949109,10.463873,10.388258,0.64955217,3.0463421,1.8259465,
AZ,alpha,14.748134,10.494022,10.631708,0.65405554,3.1598375,1.7165011,
BA,alpha,15.217229,10.385325,10.674183,0.22444946,2.6102235,0.94954723,
BB,alpha,14.334531,13.322449,8.341343,-0.79556924,0.42542186,0.24199182,
BC,alpha,14.452714,14.851616,9.791442,-0.911235,-0.26080617,-0.1159737,
BD,alpha,14.451856,14.961041,10.389819,-0.8703785,0.08703578,-0.4463466,
BE,alpha,14.737312,12.199465,8.7818775,-0.5227362,0.35840285,-0.20334692,
BF,alpha,14.934599,12.577052,8.577493,-0.5324679,0.28273082,-0.19931534,
BG,alpha,13.756345,15.590192,7.233118,-1.0266466,-0.75302815,0.35874963,
BH,alpha,15.64043,9.359582,10.087403,1.8095064,1.4228629,-0.65287864,
BI,alpha,15.770252,9.332535,10.201798,1.8095064,1.4228629,-0.65287864,
BJ,alpha,15.822961,9.358415,10.28512,1.8095064,1.4228629,-0.65287864,
BK,alpha,14.763697,10.067525,10.081257,0.6674131,3.0049894,0.99440414,
BL,alpha,14.643604,14.753,10.523547,-1.0750865,-0.30408514,-0.3650913,
BM,alpha,14.108636,14.540953,9.97452,-1.1408701,-0.22169682,-0.16254021,
BN,alpha,15.001581,15.518243,7.5872245,-1.1672041,-0.8966816,0.21988598,
BO,alpha,13.62943,13.991608,7.7654567,-0.8682675,-0.4910216,0.61475307,
BP,alpha,14.3326235,14.569924,10.862194,-1.0277814,-0.16483012,-0.21826692,
BQ,alpha,15.528761,10.345244,9.137218,0.349622,1.603605,-0.24928099,
BR,alpha,13.466084,16.03819,9.900822,-0.988202,-0.62595004,-0.27641368,
BS,alpha,13.234857,15.73575,10.401923,-0.6422853,0.1329982,-0.65686834,
BT,alpha,14.4517145,14.623516,8.135422,-0.9931108,-0.02228929,0.46372294,
BU,alpha,14.397647,14.7361,7.66551,-1.0814377,-0.43833944,0.45391232,
BV,alpha,14.679934,16.116919,6.0745416,-1.0857078,-1.0382123,0.40680087,
BW,alpha,14.442797,16.2896,6.250057,-1.0857078,-1.0382123,0.40680087,
BX,alpha,14.869772,15.786722,7.3590264,-1.1063037,-1.0338304,0.25408006,
