identifier,name_infered_activity,family,genus,species,evolutionary_order,cystein_group,major_group,zhang_subfamily,zhang_toxinType,zhang_conformation,ritu_class,activity,receptor,groups,representative,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance,x_tsne,y_tsne,z_tsne
None|Vako_dn4|Varanus komodoensis,NA,Varanidae,Varanus,Varanus komodoensis,2.0,pre-3FTx,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,4.1886153,2.985126,6.9079847,0.5098129,0.83178097,-0.19145934,,11.999479,-4.140735,-6.4848537
None|Xetr_1|Xenopus tropicalis,NA,Pipidae,Xenopus,Xenopus tropicalis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,2.1808372,2.28969,7.0643954,2.3753147,0.5030028,0.45321876,,12.299167,1.5003065,-12.543396
None|Xetr_5|Xenopus tropicalis,NA,Pipidae,Xenopus,Xenopus tropicalis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,1.770309,2.2137687,7.007806,2.8095942,0.3925227,0.45866534,,13.018221,1.9820571,-13.11468
SP|O43653|Homo sapiens,Ly6,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,1.7814261,1.3914317,6.492917,4.5481133,0.309289,0.012515062,,16.22943,-0.08772379,-16.839079
SP|P55000|Homo sapiens,NA,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,2.4027553,1.6603866,5.9762564,3.037004,-0.011781389,0.031003332,,11.686063,-0.82771707,-16.763323
None|Phci_8|Phascolarctos cinereus,NA,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,2.956137,2.5478132,6.953665,1.731989,0.58027476,0.14863485,,12.087879,-2.1653032,-10.1885395
None|Anca_4|Anolis carolinensis,NA,Dactyloidae,Anolis,Anolis carolinensis,2.0,pre-3FTx,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,4.4748116,3.1889513,6.9611526,0.5672937,0.5745548,-0.09904527,,11.664225,-3.6809733,-5.3944325
None|Xetr_7|Xenopus tropicalis,NA,Pipidae,Xenopus,Xenopus tropicalis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,2.3803377,2.5461626,6.958161,1.9462963,0.4303672,0.41227865,,12.220692,0.8002614,-11.580284
None|Oran_1|Ornithorhynchus anatinus,NA,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,3.4170604,2.3883588,6.642689,1.4619303,1.1005954,-0.22407043,,11.761723,-5.9616237,-10.921556
None|Anca_3|Anolis carolinensis,NA,Dactyloidae,Anolis,Anolis carolinensis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,3.0324538,2.1125329,5.8633447,2.0845168,0.48354083,0.055910822,,10.742636,-1.2307884,-12.953241
None|Hosa_13|Homo sapiens,Ly6,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,2.2392058,1.319244,6.4036303,3.3006477,0.7445025,-0.019319838,,14.525382,-2.5156422,-17.325066
