id,pharmacologicalFamily,cysteineFramewrok,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P00005,alpha conotoxin,I,-0.5664297,4.71175,6.455956,2.2936876,1.1785326,-0.1727384,36.812737584114075
P00008,alpha conotoxin,I,-1.1912982,3.158702,0.97723037,0.3052306,-0.76963633,0.069145195,12.17927485704422
P00009,alpha conotoxin,II,-2.5355544,4.0777817,2.9776623,0.6491396,-0.36627153,0.009445305,4.921694099903107
P00011,NA,I,-1.119002,3.786876,2.1038957,0.69510907,-0.57969785,0.0539647,
P00012,NA,I,-1.9083403,3.6115315,2.1720965,0.4678575,-0.74749273,-0.08259401,
P00013,NA,I,-1.3231306,4.012502,1.7780962,0.58768183,-0.64810437,0.009947835,
P00018,kappa conotoxin,IV,-0.37418908,4.3984246,2.8533876,1.0802153,-0.12904458,0.11275919,
P00019,NA,I,-1.2474512,5.8694124,1.7983103,0.794444,-0.4350358,0.022911107,
P00020,NA,I,-1.0116454,4.327941,2.5899873,1.0249188,-0.41222084,-0.0899009,
P00021,NA,IV,-0.1624201,3.8853445,3.1084404,0.973864,-0.14092222,0.2503179,
P00027,alpha conotoxin,XIV,-1.5336291,4.7616267,1.8733476,0.63747454,-0.64543456,-0.08905857,
P00036,alpha conotoxin,I,-1.1753143,5.251947,1.9472084,0.87524533,-0.44662952,0.018590383,
P00037,NA,I,-1.2142804,5.532402,1.9275781,0.8953195,-0.39565042,0.053722035,
P00052,NA,I,-1.6449671,5.8925257,1.4935864,0.5637504,-0.5871051,0.1532381,
P00053,NA,I,-1.6956716,5.9751616,1.483461,0.47511455,-0.568565,0.1367453,
P00076,alpha conotoxin,I,-2.540546,3.954755,2.6775374,0.60786986,-0.61226934,-0.025778752,
P00077,NA,NA,-1.1382612,5.1508307,2.8964643,1.4456168,0.26237607,-0.30748653,
P00078,NA,I,-1.0136125,4.33185,2.6096032,1.0249188,-0.41222084,-0.0899009,
P00091,alpha conotoxin,II,-2.611999,4.0921946,2.9794073,0.6458118,-0.3513066,0.023099048,
P00092,alpha conotoxin,I,-1.0989517,5.0596895,7.0718355,2.0068665,1.7380038,-0.49069738,
P00093,alpha conotoxin,I,-0.27583236,6.2848277,4.7431846,0.9474429,0.10014717,0.928624,
P00094,kappa conotoxin,IV,-0.6448621,3.8189068,2.752678,0.93753564,-0.27531043,-0.005731007,
P00097,alpha conotoxin,I,-0.64041305,4.504648,7.1036882,2.3019383,1.4839498,-0.43395236,
P00117,NA,I,-1.2039722,5.3107247,1.9130223,0.71480316,-0.42857087,0.097306155,
P00118,alpha conotoxin,I,-1.1887133,4.5390906,2.2837977,0.96428865,-0.49678627,-0.09100235,
P00119,alpha conotoxin,I,-0.8982062,4.1968665,4.4671507,2.128195,0.68296754,-0.20339964,
P00120,NA,I,-1.507322,6.015068,1.6710107,0.57745934,-0.5671371,0.03659598,
P00121,NA,I,-1.2346183,5.6160097,2.7522936,1.2152662,0.032848038,-0.09523972,
P00122,NA,I,-1.0209242,5.1056547,3.342356,1.6829605,0.7568601,-0.4518941,
P00123,NA,I,-1.1770382,5.7538605,2.0084465,0.8499863,-0.36227646,-0.0030030652,
P00125,NA,I,-1.4473318,4.955299,1.5415623,0.5026683,-0.6666603,0.1084443,
P00126,NA,I,-1.25627,5.6900578,2.1169896,0.8972719,-0.38631192,0.125605,
P00127,NA,I,-1.2788583,5.542448,1.7019994,0.74221003,-0.4824646,0.10255806,
