Name,Exon count,Source,Assigned group,x,y,z,variance
APIS_N1833,NA,Proteome,NA,0.19696136370375414,-0.2638952373740123,0.3685502099277347,38.72236342077243
APIS_N5653,NA,Proteome,NA,0.07018090665296331,0.025849797247460813,0.38227960961743634,10.524546632567535
APIS_S4748,NA,Proteome,NA,0.2746267178089473,0.11871907624715551,0.4902349716586974,6.321083126302534
Apce208U,2.0,Predicted,NA,1.302273122598308,-0.19789944976443993,-0.3369651491640763,
Apce566VA3,6.0,Predicted,Venom Allergen 3,-0.12414997942543111,0.37821503511408705,-0.005255734460481378,
Apdo353U,2.0,Predicted,NA,1.3150854142896973,-0.1717916065139641,-0.34145348765565947,
Apdo372VA3,6.0,Predicted,Venom Allergen 3,-0.12555102132386553,0.376995065911935,-0.004874201726661318,
Apfl127Un,2.0,Predicted,NA,1.217720505364859,-0.07729597508327588,-0.2525645258657244,
Apfl393VA3,1.0,Predicted,Venom Allergen 3,0.2895698728181209,0.04212858907907206,0.41521069304742125,
Apme638V3a,3.0,Predicted,Venom Allergen 3,-0.4032470482873222,0.3463880608227583,-0.39352373308675986,
Apme638V3b,3.0,Predicted,Venom Allergen 3,0.028772876537364964,0.6796189608516029,0.23238370028133118,
Apme643,NA,Predicted,NA,0.17613462115288744,-0.2352008861822295,0.3791481807813722,
Apme647,NA,Predicted,NA,0.2746267178089473,0.11871907624715552,0.4902349716586975,
Apme652Un,2.0,Predicted,NA,1.3155120257987751,-0.19146319615014945,-0.347072993662144,
Atro370aC2,5.0,Predicted,CRiSP,-0.19802916214377364,-0.0018687437815687318,0.16374242666469463,
Atro373aV3,5.0,Predicted,Venom Allergen 3,-0.3766989229599049,-0.03162122990663324,0.02115755161803706,
Atro966V3b,5.0,Predicted,Venom Allergen 3,-0.409438436570798,-0.27445444228217075,0.06322747447041195,
Atro966V5a,6.0,Predicted,Venom Allergen 5,-0.3089774780300978,0.1486927558706801,0.07961137220197198,
Atro966dU,3.0,Predicted,NA,1.1418415097528618,-0.1582482344106886,-0.08386558352142738,
Bote767a,3.0,Predicted,Venom Allergen 5,-0.5431237561925794,0.4081583901479962,-0.6050287769335863,
Bote767b,2.0,Predicted,NA,0.4240691307549267,0.29992239352717265,0.5079110307983351,
Bote776Un,2.0,Predicted,NA,1.2830913203579881,-0.10186687110776567,-0.22185435282903312,
Bote777V52,7.0,Predicted,Venom Allergen 5.02,-0.3920682477919438,-0.25442643418481214,0.07013209351416444,
Bovo131U,2.0,Predicted,NA,1.2838700147506568,-0.12477909732053047,-0.2400236692055843,
Bovo953a,3.0,Predicted,Venom Allergen 5,-0.4142680890294417,0.36412145469117535,-0.39119157644621166,
Bovo953b,3.0,Predicted,NA,-0.07263026046009738,0.46908632268509937,0.23691496559555905,
Bovo985V52,7.0,Predicted,Venom Allergen 5.02,-0.3889307552540508,-0.23568922348013044,0.06470183811233456,
Cafl236U,2.0,Predicted,NA,1.0019588166146303,0.0840831749795724,0.061674450215837666,
Cafl287a,7.0,Predicted,Venom Allergen 5,-0.4389652528827629,-0.23596499207972554,0.10954223475343053,
Cafl287b,7.0,Predicted,Venom Allergen 5.02,-0.07734449973557314,0.3031672264705015,0.25976500066344427,
