ID,Group,Species,Taxa,x,y,z,variance
Xela,pre_g2,Xenopus laevis,Anura,-0.752957,0.021165965,0.006195419,50.435781478881836
bAncyB,B,Anser cygnoides,Aves,-1.3146181,2.7016032,-0.14563182,11.584341526031494
bAncyC,C,Anser cygnoides,Aves,0.2115606,0.284492,-0.24965113,7.63544887304306
bAncyD,D3,Anser cygnoides,Aves,-0.4042616,0.20611383,-0.6514425,
bAncyE,E,Anser cygnoides,Aves,0.09363333,-0.42726094,-0.29934433,
bAnplB,B,Anas platyrhynchos platyrhynchos,Aves,-1.0825716,2.728365,-0.26103145,
bAnplC,C,Anas platyrhynchos platyrhynchos,Aves,0.27935067,0.28671092,-0.34277955,
bAnplD,D3,Anas platyrhynchos platyrhynchos,Aves,-0.44021377,0.26926816,-0.50735956,
bAnplE,E,Anas platyrhynchos platyrhynchos,Aves,0.3220324,-0.14305407,-0.87352306,
bApauC,C,Apteryx australis mantelli,Aves,0.12954625,0.13611168,-0.06916678,
bApfoB,B,Aptenodytes forsteri,Aves,-1.2967545,2.2801769,-0.47586143,
bApfoC,C,Aptenodytes forsteri,Aves,0.2908197,-0.074990995,-0.1703984,
bApfoD,D3,Aptenodytes forsteri,Aves,-0.09356779,-0.13759226,-0.55893534,
bApfoE,E,Aptenodytes forsteri,Aves,1.0121789,-0.43594542,-0.6796994,
bAqchB,B,Aquila chrysaetos canadensis,Aves,-1.3026497,2.284568,-0.2587808,
bAqchC,C,Aquila chrysaetos canadensis,Aves,0.28488216,0.0415697,-0.11076687,
bAqchD,D3,Aquila chrysaetos canadensis,Aves,-0.15957443,-0.04843743,-0.46556064,
bBareB,B,Balearica regulorum gibbericeps,Aves,-1.5043179,2.145021,-0.2825088,
bBareC,C,Balearica regulorum gibbericeps,Aves,0.39849663,0.064378776,-0.20703769,
bBareD,D3,Balearica regulorum gibbericeps,Aves,-0.39173692,0.10833131,-0.34431714,
bBareE,E,Balearica regulorum gibbericeps,Aves,0.6019977,-0.4376658,-0.6134153,
bChmaB,B,Chlamydotis macqueenii,Aves,-1.2722162,2.232342,-0.42264524,
bChmaC,C,Chlamydotis macqueenii,Aves,0.29097423,0.23719272,-0.21947962,
bChmaD,D3,Chlamydotis macqueenii,Aves,-0.32069993,-0.0144189885,-0.34998327,
bChmaE,E,Chlamydotis macqueenii,Aves,0.89473563,-0.24327743,-0.6227977,
bCocoD,D3,Corvus cornix cornix,Aves,-0.111910045,-0.05789045,-0.57548374,
bCocoE,E,Corvus cornix cornix,Aves,0.8217191,-0.5003727,-0.94923514,
bCucaB,B,Cuculus canorus,Aves,-1.1856316,2.2531703,-0.43950894,
bCucaC,C,Cuculus canorus,Aves,0.13393946,0.03611122,-0.14824037,
bCucaD,D3,Cuculus canorus,Aves,-0.019641312,0.059102565,-0.41582593,
bGagaB,B,Gallus gallus,Aves,-1.1832354,2.7637086,-0.48447958,
bGagaC,C,Gallus gallus,Aves,0.45797035,0.3911653,-0.3811468,
bGagaD,D3,Gallus gallus,Aves,-0.17822097,0.00037963293,-0.69390553,
bGagaE,E,Gallus gallus,Aves,0.607094,-0.3756128,-0.74870443,
bHaleB,B,Haliaeetus leucocephalus,Aves,-1.4097009,2.1640956,-0.36731473,
bHaleC,C,Haliaeetus leucocephalus,Aves,0.31357473,0.11199445,-0.13284114,
bHaleD,D3,Haliaeetus leucocephalus,Aves,-0.12732747,-0.06716419,-0.443883,
bNaauB,B,Nannopterum auritus,Aves,-1.3494481,2.1996741,-0.48434588,
bNaauC,C,Nannopterum auritus,Aves,0.35002938,0.14463282,-0.24626552,
bNaauD,D3,Nannopterum auritus,Aves,-0.50981945,-0.25956115,-0.25716949,
bOphoC,C,Opisthocomus hoazin,Aves,0.114576735,-0.15787326,-0.026681792,
bOphoD,D3,Opisthocomus hoazin,Aves,-0.3697346,-0.110389225,-0.20008117,
bOphoE,E,Opisthocomus hoazin,Aves,1.3305901,-0.6184539,-0.80454916,
bPafaB,B,Patagioenas fasciata monilis,Aves,-1.4083966,2.4154632,-0.4380832,
bPafaC,C,Patagioenas fasciata monilis,Aves,-0.010335974,0.2332206,-0.12914747,
bPafaD,D3,Patagioenas fasciata monilis,Aves,-0.14402434,-0.038189758,-0.52955705,
bPskrB,B,Psittacula krameri,Aves,-1.40237,2.4325686,-0.40303814,
bPskrC,C,Psittacula krameri,Aves,0.1093814,0.16072975,-0.04386676,
