mapped_id,original_id,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study
AAA,Cbivi_3FTx_000,-,3FTx,Calliophis bivirgatus,Elapidae
AAB,Erythrolamprus_poecilogyrus_A7X3M9,-,3FTx,Erythrolamprus poecilogyrus,Colubridae
AAC,Boiga_irregularis_Brisbane_GGUD01000006,-,3FTx,Boiga irregularis,Colubridae
AAD,Boiga_nigriceps_GGUF01000001,-,3FTx,Boiga nigriceps,Colubridae
AAE,Telescopus_dhara_A7X3N6,-,3FTx,Telescopus dhara,Colubridae
AAF,Boiga_cynodon_GGUA01000001,-,3FTx,Boiga cynodon,Colubridae
AAG,Boiga_dendrophila_dendrophila_GGUB01000001,-,3FTx,Boiga dendrophila dendrophila,Colubridae
AAH,Boiga_dendrophila_gemmicincta_GGUC01000007,-,3FTx,Boiga dendrophila gemmicincta,Colubridae
AAI,Heterodon_nasicus_unigene14895,-,3FTx,Heterodon nasicus,Colubridae
AAJ,Heterodon_nasicus_unigene617783,-,3FTx,Heterodon nasicus,Colubridae
AAK,Thelotornis_mossambicanus_3FTx_05,-,3FTx,Thelotornis mossambicanus,Colubridae
AAL,Micrurus_mipartitus_C0HJR2,-,3FTx,Micrurus mipartitus ,Elapidae
AAM,Micrurus_surinamensis_P86096,-,3FTx,Micrurus surinamensis ,Elapidae
AAN,Micrurus_frontalis_P86424,-,3FTx,Micrurus frontalis,Elapidae
AAO,Dendroaspis_polylepis_T2720,-,3FTx,Dendroaspis polylepis ,Elapidae
AAP,Dendroaspis_angusticeps_GILR01002482,-,3FTx,Dendroaspis angusticeps ,Elapidae
AAQ,Dendroaspis_viridis_GHPC01002050,-,3FTx,Dendroaspis viridis ,Elapidae
AAR,Dendroaspis_jamesoni_jamesoni_GHPA01000962,-,3FTx,Dendroaspis jamesoni jamesoni ,Elapidae
AAS,Dendroaspis_jamesoni_kaimosae_P25682,-,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae
AAT,Dendroaspis_angusticeps_GILR01002080,-,3FTx,Dendroaspis angusticeps ,Elapidae
AAU,Micrurus_altirostris_F5CPD4,-,3FTx,Micrurus altirostris,Elapidae
AAV,Micrurus_fulvius_U3FVH6,-,3FTx,Micrurus fulvius,Elapidae
AAW,Dendroaspis_viridis_GHPC01002196,-,3FTx,Dendroaspis viridis ,Elapidae
AAX,Walterinnesia_aegyptia_C0HKZ8,-,3FTx,Walterinnesia aegyptia ,Elapidae
AAY,Bungarus_candidus_P81782,-,3FTx,Bungarus candidus ,Elapidae
AAZ,Psammophis_schokari_unigene276500,-,3FTx,Psammophis schokari ,Psammophiidae
ABA,Rhabdophis_subminiatus_unigene144234,-,3FTx,Rhabdophis subminiatus ,Colubridae
ABB,Rhabdophis_subminiatus_unigene61055,-,3FTx,Rhabdophis subminiatus ,Colubridae
ABC,Ahaetulla_prasina_A0A346CLY6,-,3FTx,Ahaetulla prasina ,Colubridae
