mapped_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P00011,Conus caracteristicus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.908105,8.994658,8.212806,-0.336098,-0.58898,0.0012625293,31.375420093536377
P00013,Conus caracteristicus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.920594,8.8524475,7.924209,-0.24391839,-0.63029724,-0.05661473,11.549127101898193
P00027,Conus litteratus,Precursor,conotoxin,L superfamily,NA,NA,nucleic acid level,8.3443775,9.418355,7.813436,-0.30226147,-0.5942642,-0.176576,6.16256520152092
P00093,Conus imperialis,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,10.824638,11.780897,9.769346,-0.586276,-0.19875264,0.74795544,
P01077,Conus imperialis,Precursor,conotoxin,O1 superfamily,NA,VI/VII,nucleic acid level,3.46302,17.451595,11.509168,1.6760396,0.64446336,-0.42246804,
P01156,Conus litteratus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.2539122,16.781935,10.953978,1.963411,0.813902,-0.47535166,
P01163,Conus litteratus,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,9.549126,11.159544,7.5987725,-0.2721599,-0.63301164,-0.2966211,
P01164,Conus litteratus,Precursor,conotoxin,M superfamily,NA,NA,nucleic acid level,9.093946,12.217212,5.935043,0.42181793,-0.73126245,-0.33630857,
P01175,Conus litteratus,Precursor,contryphan,O2 superfamily,NA,NA,nucleic acid level,10.527151,8.494257,6.02492,0.024682583,-0.9604104,-0.36223084,
P02815,Conus caracteristicus,Precursor,conotoxin,T superfamily,NA,NA,nucleic acid level,9.637908,10.226599,7.173126,-0.3643689,-0.5207158,-0.20335945,
P02872,Conus catus,Precursor,conotoxin,O1 superfamily,NA,NA,nucleic acid level,2.4692492,16.921291,11.163622,1.9964248,0.92837244,-0.553574,
P02878,Conus aulicus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.375641,8.159096,8.544669,-0.45057172,-0.5237139,0.054390255,
P02879,Conus aulicus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.576452,8.238773,7.929864,-0.2572557,-0.75430983,0.057008557,
P02880,Conus textile,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.683212,8.143164,8.116267,-0.44576123,-0.78275234,0.08873458,
P02882,Conus textile,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.286238,7.951094,8.333238,-0.3072196,-0.6043332,-0.0072126626,
P02884,Conus textile,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.473742,8.023962,7.848016,-0.1697636,-0.8191569,0.024759408,
P02886,Conus radiatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.811438,7.91706,7.808763,-0.1316877,-0.7977589,0.07794035,
P02888,Conus tulipa,Precursor,conotoxin,A superfamily,NA,I,nucleic acid level,9.34744,8.475427,7.896949,0.075600974,-0.790902,0.15935105,
P02890,Conus tulipa,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.32896,8.478244,7.947875,0.03066282,-0.80835783,0.18955168,
P02892,Conus sulcatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,10.165293,8.785365,7.7499905,-0.26661882,-0.5555092,-0.0422506,
P02894,Conus sulcatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,10.180242,8.429598,7.7272167,-0.3348247,-0.6095369,-0.03377164,
P02896,Conus sulcatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.601039,8.045641,7.777942,-0.3115879,-0.5431953,0.03725699,
P02898,Conus sulcatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,10.040546,8.569332,7.769306,-0.3852848,-0.6080465,-0.009559932,
P02900,Conus sulcatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.789943,8.927286,8.039039,-0.32836768,-0.48612058,0.048484523,
P02902,Conus consors,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.926686,6.3530097,5.835276,-0.45688266,-0.36567783,-0.3688312,
P02904,Conus stercusmuscarum,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.972956,8.214958,7.554577,-0.14598481,-0.65885675,-0.066110745,
P02906,Conus betulinus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.79827,8.559661,8.471007,-0.4652183,-0.6108712,0.10917044,
P02908,Conus betulinus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.572065,9.07744,10.235174,-1.3729174,0.124482885,0.04867056,
P02910,Conus betulinus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.534448,8.87327,9.426106,-1.2534178,-0.23768054,0.25512657,
P02912,Conus betulinus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.816788,8.429978,7.527679,0.1284938,-0.9352357,0.035541873,
P02914,Conus betulinus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.743478,8.495305,8.303579,-0.35451174,-0.67274314,0.21758339,
P02916,Conus pennaceus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.36372,8.122948,8.318393,-0.3293393,-0.6447595,0.07345486,
P02918,Conus pennaceus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.300576,8.626227,8.747454,-0.6410623,-0.3817683,0.042299565,
P02920,Conus stercusmuscarum,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.120598,6.842191,6.1061745,-0.58086807,-0.43419802,-0.26157713,
P02922,Conus circumcisus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.976555,7.9543676,7.3973823,-0.13453133,-0.6819456,-0.008530296,
P02924,Conus circumcisus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.890517,6.821305,6.237838,-0.758103,-0.24126782,-0.21434921,
P02925,Conus episcopatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.3581295,8.09341,7.955408,-0.2101899,-0.6284228,-0.022587905,
P02927,Conus sponsalis,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.591854,7.955748,7.8455334,-0.27343693,-0.73994166,-0.1795422,
P02929,Conus sponsalis,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.480418,7.8160224,7.5945363,-0.23202935,-0.54666466,0.08582165,
P02931,Conus bullatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.2641535,8.278847,6.8029265,-0.020218087,-0.68876165,-0.1310624,
P02933,Conus bullatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.130401,7.281435,6.470455,-0.17891455,-0.58870906,-0.16555823,
P02935,Conus bullatus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.02588,6.9610043,6.2443247,-0.2042109,-0.5486661,-0.2807213,
P02937,Conus distans,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.058815,8.999767,8.509382,-0.82258743,-0.40691277,-0.06181628,
P02939,Conus consors,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.733354,8.250314,7.490512,-0.0026596715,-0.6896706,-0.006322876,
P02941,Conus purpurascens,Precursor,conotoxin,NA,NA,NA,nucleic acid level,10.251174,8.827662,14.177626,-2.2133749,1.3233193,-1.1092737,
P02943,Conus ammiralis,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,9.521491,8.183222,7.5990634,0.22323404,-0.8692056,0.10151674,
