id,pharmacologicalFamily,cysteineFramewrok,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P00005,alpha conotoxin,I,,,,,,,
P00008,alpha conotoxin,I,-7.1005244,11.468072,12.422327,0.5241194,-0.72089684,0.049944904,43.97221505641937
P00009,alpha conotoxin,II,-6.979097,11.341011,12.241016,0.52411705,-0.7208976,0.049943596,6.67099803686142
P00011,NA,I,-7.1710296,11.359752,12.53242,0.52411705,-0.72089565,0.049943287,5.934449657797813
P00012,NA,I,-2.023594,11.533443,11.539363,0.17579019,-0.79901063,-0.28910002,
P00013,NA,I,-7.0254035,11.414143,12.322531,0.52411705,-0.7208958,0.049943756,
P00018,kappa conotoxin,IV,-6.952092,11.3171015,12.379071,0.52411705,-0.7208958,0.049943786,
P00019,NA,I,-3.1540387,11.5368395,12.071437,0.52109987,-0.8164042,-0.19450714,
P00020,NA,I,-2.8191013,11.845896,12.471015,0.39749107,-0.52334285,-0.30493802,
P00021,NA,IV,-6.9927754,11.149312,12.496819,0.52411705,-0.7208958,0.04994378,
P00027,alpha conotoxin,XIV,6.0843625,6.2756453,9.865489,0.024151867,-0.43884444,-0.2773651,
P00036,alpha conotoxin,I,-6.762952,11.506879,12.161173,0.52411705,-0.7208958,0.04994378,
P00037,NA,I,-7.0568476,11.444688,12.429549,0.52411705,-0.7208958,0.04994378,
P00052,NA,I,-2.3705134,12.379295,10.680276,0.37531367,-0.8063732,-0.2240267,
P00053,NA,I,-7.1742063,11.384562,12.432488,0.52411705,-0.7208958,0.04994378,
P00076,alpha conotoxin,I,-7.074216,11.103891,12.264099,0.52411705,-0.7208958,0.04994378,
P00077,NA,NA,-1.4467764,11.373333,11.506635,0.08567558,-0.68325746,-0.40657344,
P00078,NA,I,-2.8511548,11.810221,12.469674,0.39749107,-0.52334285,-0.30493802,
P00091,alpha conotoxin,II,-6.220512,11.145251,12.690534,0.5985883,-0.46440658,0.033747632,
P00092,alpha conotoxin,I,,,,,,,
P00093,alpha conotoxin,I,,,,,,,
P00094,kappa conotoxin,IV,-6.7529716,11.311677,12.48611,0.52411705,-0.7208958,0.04994378,
P00097,alpha conotoxin,I,,,,,,,
