Name,no group,x,y,z
AAA,NA,10.42701,3.9391236,-0.14216915
AAB,NA,7.5185766,7.011156,3.7414215
AAC,NA,4.0431285,8.03998,2.9415834
AAD,NA,10.372859,3.8593872,-0.48503676
AAE,NA,11.0521145,6.007624,3.6739674
AAF,NA,10.293994,4.2896285,-0.8221135
AAG,NA,4.081076,6.051149,2.2627842
AAH,NA,7.206949,7.0054045,3.0308049
AAI,NA,5.026792,7.511807,2.441802
AAJ,NA,4.852965,8.064502,3.0283282
AAK,NA,7.301884,3.3372931,5.1458755
AAL,NA,7.907095,3.7695796,4.5497174
AAM,NA,11.020112,5.874348,5.2804337
AAN,NA,3.6749568,6.079124,2.9991002
AAO,NA,3.6666076,6.098248,2.826656
AAP,NA,8.283156,4.6092496,6.739513
AAQ,NA,8.983654,6.9793406,3.913459
AAR,NA,10.0087185,3.7827587,-1.0010318
AAS,NA,4.335416,8.257804,2.7279203
AAT,NA,4.6526804,7.7159915,2.4005015
AAU,NA,-0.3918284,0.72483575,-0.044776164
AAV,NA,9.352184,6.3297434,5.1486487
AAW,NA,10.490174,3.7028203,-0.5657433
AAX,NA,9.514046,6.5120745,4.81861
AAY,NA,3.458275,7.6461344,2.7249937
AAZ,NA,10.509452,4.024839,-0.7996318
ABA,NA,10.107986,5.4449053,5.165816
ABB,NA,9.355926,6.4791794,5.0974236
ABC,NA,11.836738,11.323937,5.928043
ABD,NA,9.481302,6.273755,4.721395
ABE,NA,10.252422,1.2311593,1.1074785
ABF,NA,10.031959,3.8211265,-0.56702334
ABG,NA,9.422376,5.594784,4.759169
ABH,NA,-0.039172024,0.7935729,-0.43489143
ABI,NA,10.2388115,5.5870996,5.3271065
ABJ,NA,8.631967,5.046848,6.9018826
ABK,NA,10.79474,10.61205,5.9129868
ABL,NA,11.78861,11.85575,6.086966
ABM,NA,8.600158,4.9173365,7.1599193
ABN,NA,8.992365,5.2547956,6.461723
ABO,NA,11.436829,10.875325,6.5619555
ABP,NA,7.0179977,7.278362,3.1374974
ABQ,NA,11.480162,5.8174148,3.0900228
ABR,NA,10.99668,10.446946,6.1433234
ABS,NA,10.894707,0.9204566,0.22491786
ABT,NA,10.54561,5.3839817,5.787206
ABU,NA,10.229046,3.3280725,0.3877479
ABV,NA,8.21733,6.643568,3.237731
ABW,NA,7.8651347,4.0492415,4.3131104
ABX,NA,10.866627,6.3940873,3.4866502
ABY,NA,9.318856,2.7564173,0.9647191
ABZ,NA,10.868814,1.0833956,1.7152396
ACA,NA,11.087521,6.361204,3.1711748
ACB,NA,4.2317934,6.186466,2.3392434
ACC,NA,8.86985,6.597412,3.7165058
ACD,NA,8.935469,4.8223457,2.6744528
ACE,NA,8.897948,4.826965,2.6232796
ACF,NA,10.142775,5.611649,5.460122
ACG,NA,4.2378864,7.733036,3.3365753
ACH,NA,11.289169,5.939683,3.403896
ACI,NA,7.670239,3.5359542,4.951756
ACJ,NA,8.240251,5.1941657,6.541265
ACK,NA,9.04687,5.8213916,5.189634
ACL,NA,4.399126,6.5270495,2.242304
ACM,NA,9.957971,4.6167307,0.90995383
