id,pharmacologicalFamily,cysteineFramewrok
P00001,alpha conotoxin,I
P00002,alpha conotoxin,I
P00003,alpha conotoxin,I
P00004,alpha conotoxin,I
P00006,alpha conotoxin,I
P00010,alpha conotoxin,I
P00015,alpha conotoxin,I
P00022,alpha conotoxin,I
P00023,alpha conotoxin,I
P00024,alpha conotoxin,I
P00025,alpha conotoxin,I
P00026,alpha conotoxin,I
P00028,alpha conotoxin,I
P00029,alpha conotoxin,I
P00030,alpha conotoxin,I
P00031,alpha conotoxin,I
P00032,alpha conotoxin,I
P00033,alpha conotoxin,I
P00034,alpha conotoxin,I
P00035,alpha conotoxin,I
P00038,alpha conotoxin,I
P00039,alpha conotoxin,I
P00050,alpha conotoxin,I
P00051,alpha conotoxin,I
P00074,alpha conotoxin,I
P00075,alpha conotoxin,I
P00090,alpha conotoxin,II
P00095,alpha conotoxin,I
P00098,alpha conotoxin,I
P00099,alpha conotoxin,I
P00112,alpha conotoxin,I
P00132,alpha conotoxin,I
P00404,alpha conotoxin,I
P00405,alpha conotoxin,I
P00407,alpha conotoxin,I
P00505,alpha conotoxin,I
P00516,alpha conotoxin,I
P00517,alpha conotoxin,I
P00595,alpha conotoxin,I
P00840,iota conotoxin,XI
P01268,mu conotoxin,VI/VII
P01356,kappa conotoxin,VI/VII
P01384,chi conotoxin,X
P01386,omega conotoxin,VI/VII
P01397,alpha conotoxin,IV
P01449,alpha conotoxin,IV
P01473,gamma conotoxin,VI/VII
P01484,omega conotoxin,VI/VII
P01496,gamma conotoxin,VI/VII
P01517,gamma conotoxin,VI/VII
P01519,delta conotoxin,VI/VII
P01537,chi conotoxin,X
P01539,kappa conotoxin,XIV
P01540,omega conotoxin,VI/VII
P01541,delta conotoxin,
P01543,epsilon conotoxin,V
P01546,omega conotoxin,VI/VII
P01552,delta conotoxin,VI/VII
P01553,delta conotoxin,VI/VII
P01554,mu conotoxin,VI/VII
P01556,mu conotoxin,VI/VII
P01558,alpha conotoxin,I
P01559,mu conotoxin,IV
P01560,mu conotoxin,IV
P01561,delta conotoxin,VI/VII
P01566,mu conotoxin,III
P01570,mu conotoxin,III
P01571,mu conotoxin,III
P01574,alpha conotoxin,VIII
P01575,delta conotoxin,VI/VII
P01594,alpha conotoxin,III
P01598,delta conotoxin,VI/VII
P01603,omega conotoxin,VI/VII
P01611,alpha conotoxin,III
P01612,alpha conotoxin,IV
P01615,mu conotoxin,III
P01616,mu conotoxin,III
P01620,delta conotoxin,VI/VII
P01621,delta conotoxin,VI/VII
P01622,delta conotoxin,VI/VII
P01623,delta conotoxin,VI/VII
P01624,delta conotoxin,VI/VII
P01625,delta conotoxin,VI/VII
P01626,delta conotoxin,VI/VII
P01627,delta conotoxin,VI/VII
P01628,delta conotoxin,VI/VII
P01630,delta conotoxin,VI/VII
P01632,omega conotoxin,VI/VII
P01634,rho conotoxin,I
P01635,alpha conotoxin,IV
P01636,gamma conotoxin,VI/VII
P01638,omega conotoxin,VI/VII
P01657,omega conotoxin,VI/VII
P01658,omega conotoxin,VI/VII
P01661,omega conotoxin,VI/VII
P01662,mu conotoxin,III
P01669,kappa conotoxin,IV
P01670,kappa conotoxin,IV
P01684,alpha conotoxin,XX
P01685,alpha conotoxin,XX
P01686,alpha conotoxin,XX
P01687,alpha conotoxin,IV
P01688,alpha conotoxin,IV
P01689,alpha conotoxin,IV
P01690,mu conotoxin,III
P01691,mu conotoxin,III
P01692,mu conotoxin,III
P01693,mu conotoxin,III
P01725,omega conotoxin,VI/VII
P01726,omega conotoxin,VI/VII
P01727,omega conotoxin,VI/VII
P01728,omega conotoxin,VI/VII
P01737,chi conotoxin,X
P01738,chi conotoxin,X
P01740,alpha conotoxin,IV
P01741,omega conotoxin,VI/VII
P01742,omega conotoxin,VI/VII
P01743,omega conotoxin,VI/VII
P01744,mu conotoxin,III
P01780,omega conotoxin,VI/VII
P01793,omega conotoxin,VI/VII
P01794,omega conotoxin,VI/VII
P02228,mu conotoxin,III
P02478,alpha conotoxin,
P02479,alpha conotoxin,
P02496,alpha conotoxin,I
P02501,alpha conotoxin,I
P02511,alpha conotoxin,I
P02524,kappa conotoxin,IV
P02526,kappa conotoxin,XI
P02527,kappa conotoxin,IV
P02548,omega conotoxin,VI/VII
P02549,omega conotoxin,VI/VII
P02553,omega conotoxin,VI/VII
P02554,omega conotoxin,VI/VII
P02555,omega conotoxin,VI/VII
P02556,omega conotoxin,VI/VII
P02557,omega conotoxin,VI/VII
P02558,omega conotoxin,VI/VII
P02581,omega conotoxin,VI/VII
P02582,sigma conotoxin,VIII
P02585,alpha conotoxin,I
P02586,alpha conotoxin,I
P02587,mu conotoxin,III
P02588,alpha conotoxin,XIV
P02591,kappa conotoxin,III
P02595,delta conotoxin,VI/VII
P02602,omega conotoxin,VI/VII
P02603,omega conotoxin,VI/VII
P02608,alpha conotoxin,I
P02625,iota conotoxin,III
P02675,omega conotoxin,VI/VII
P02707,mu conotoxin,III
P02708,omega conotoxin,VI/VII
P02709,omega conotoxin,VI/VII
P02710,delta conotoxin,VI/VII
P02725,omega conotoxin,
P02727,omega conotoxin,
P02728,omega conotoxin,
P02729,omega conotoxin,
P02730,omega conotoxin,
P02731,omega conotoxin,
P02732,omega conotoxin,
P02733,omega conotoxin,
P02734,omega conotoxin,
P02735,omega conotoxin,
P02736,omega conotoxin,
P02737,omega conotoxin,
P02738,omega conotoxin,
P02739,omega conotoxin,
P02740,omega conotoxin,
P02741,omega conotoxin,
P02748,alpha conotoxin,I
P02752,alpha conotoxin,I
P02753,alpha conotoxin,
P02754,alpha conotoxin,
P02755,alpha conotoxin,
P02756,alpha conotoxin,
P02832,alpha conotoxin,III
P02848,chi conotoxin,X
P02849,chi conotoxin,X
P02850,alpha conotoxin,I
P02851,alpha conotoxin,I
P02852,alpha conotoxin,I
P02853,alpha conotoxin,I
P02854,chi conotoxin,X
P02855,chi conotoxin,X
P02856,chi conotoxin,X
P02871,mu conotoxin,VI/VII
P02881,alpha conotoxin,I
P03275,omega conotoxin,VI/VII
P03322,mu conotoxin,V
P03553,alpha conotoxin,I
P03557,alpha conotoxin,I
P03558,alpha conotoxin,I
P03559,alpha conotoxin,I
P03560,alpha conotoxin,I
P03561,alpha conotoxin,I
P03562,alpha conotoxin,I
P03563,alpha conotoxin,I
P03564,alpha conotoxin,I
P03565,alpha conotoxin,I
P03566,alpha conotoxin,I
P03567,alpha conotoxin,I
P03568,alpha conotoxin,I
P03569,alpha conotoxin,I
P03570,alpha conotoxin,I
P03571,alpha conotoxin,I
P03572,alpha conotoxin,I
P03573,alpha conotoxin,I
P03574,alpha conotoxin,I
P03575,alpha conotoxin,I
P03576,alpha conotoxin,I
P03577,alpha conotoxin,I
P03578,mu conotoxin,III
P03579,mu conotoxin,III
P03580,mu conotoxin,III
P03581,mu conotoxin,III
P03582,alpha conotoxin,I
P03583,alpha conotoxin,I
P03584,mu conotoxin,III
P03585,mu conotoxin,III
P03647,alpha conotoxin,I
P03648,alpha conotoxin,I
P03649,alpha conotoxin,I
P03650,alpha conotoxin,I
P03651,alpha conotoxin,I
P03652,alpha conotoxin,I
P03653,alpha conotoxin,I
P03654,alpha conotoxin,I
P03655,alpha conotoxin,I
P03656,alpha conotoxin,I
P03657,alpha conotoxin,I
P03658,alpha conotoxin,I
P03659,alpha conotoxin,I
P03660,alpha conotoxin,I
P03661,alpha conotoxin,I
P03662,alpha conotoxin,I
P03663,alpha conotoxin,I
P03664,alpha conotoxin,I
P03665,alpha conotoxin,I
P03666,alpha conotoxin,I
P03667,alpha conotoxin,I
P03668,alpha conotoxin,I
P03669,alpha conotoxin,I
