Name,Number,3vals,4vals
Halictus_D1973,1,1,1
Ceca227Gol,1,1,1
APIS_N5653,1,2,2
Apme638V3b,1,0,2
Apfl393VA3,1,2,1
Atro966V5a,1,1,0
Atro370aC2,1,0,0
Bote767a,1,1,2
Bote767b,1,0,1
Bote777V52,1,0,3
Bovo953b,1,0,0
Bovo985V52,1,1,0
Cafl236U,1,2,0
Cafl287a,1,2,2
Cafl287b,1,2,3
Ceci832aC2,1,2,2
Ceca565V5c,1,2,1
Ceca358V3,1,1,2
Ceca567a,1,2,2
Duno895b,1,1,2
Duno986V3,1,2,2
Eume479V5,1,1,3
Eume048,1,1,1
Eudi940aU,1,0,3
Frva326b,1,2,1
Frva326c,1,0,1
Frva454,1,0,1
Hala429V51,1,1,1
Hasa183a,1,1,0
Hasa183c,1,0,3
Hasa425V3,1,2,2
Hasa700aV3,1,0,3
Hasa700bV5,1,2,3
Lihu699c,1,2,3
Lihu777a,1,2,2
Lihu777b,1,2,1
Mero109V5,1,2,1
Mero210aU,1,1,3
Mero210bV52,1,2,1
Mege824V52,1,0,3
Mequ746aV5,1,1,3
Mequ746b,1,0,2
Mequ243V5,1,1,2
Navi758CR_out,1,0,1
Navi758V3b,1,0,1
Navi759bV5,1,1,0
Navi759cV51,1,0,0
Navi760Ud,1,2,0
Nome504V5,1,2,2
Nome755Ub,1,2,1
Odbr534V5a,1,0,1
Odbr534V5b,1,1,3
Oobi515CRa,1,0,2
Oobi515CRb,1,0,2
Oobi515V5c,1,0,1
Osbi697Ua,1,0,2
Osbi788V5,1,1,1
Osli271V3,1,1,0
Poca602V5,1,0,1
Podo111V5,1,2,3
Soin821U,1,1,1
Tetar14aO,1,1,1
Waau855b,1,2,3
Waau715V5,1,1,0
Waau894V3,1,2,0
Waau863b,1,1,0
Xylocopa_N5000,1,0,1
Xylocopa_D1360,1,1,1
APIS_S4748,1,2,2
Apme647,1,1,1
Apme638V3a,1,0,1
Apme652Un,1,0,3
sp_P86686_VA5_POLPI_Venom_allergen_5_Polybia_paulista,1,0,1
sp_P10736_VA52_DOLMA_Venom_allergen_5_01_Dolichovespula_maculata,1,2,0
sp_Q05110_VA5_VESVU_Venom_allergen_5_Vespula_vulgaris,1,1,2
sp_P35759_VA5_POLEX_Venom_allergen_5_Polistes_exclamans,1,0,1
sp_P35783_VA5_VESFL_Venom_allergen_5_Vespula_flavopilosa,1,1,1
sp_D4P2Y4_VA52_POLPI_Venom_allergen_5_2_Polybia_paulista,1,0,3
sp_Q7Z156_VA5_POLSR_Venom_allergen_5_Polybia_scutellaris_rioplatensis,1,0,2
sp_P86870_VA5_VESMG_Venom_allergen_5_Vespa_magnifica,1,0,3
sp_P0DMB9_VA5_VESVE_Venom_allergen_5_Vespa_velutina,1,0,3
sp_P35784_VA5_VESGE_Venom_allergen_5_Vespula_germanica,1,1,3
sp_Q05108_VA5_DOLAR_Venom_allergen_5_Dolichovespula_arenaria,1,1,1
sp_P35787_VA5_VESVI_Venom_allergen_5_Vespula_vidua,1,2,2
Xylocopa_N6624,2,1,2
Xylocopa_D53,2,1,1
Apce566VA3,2,0,1
Apce208U,2,0,3
Apdo353U,2,2,3
Apdo372VA3,2,1,1
Apfl127Un,2,1,2
Atro966dU,2,2,2
Atro966V3b,2,2,0
Atro373aV3,2,1,0
Bote776Un,2,2,0
Bovo953a,2,1,0
Bovo131U,2,0,0
Ceci865aV3,2,0,3
Ceci865bU,2,2,1
Ceci403aV5,2,2,2
Ceca565d,2,1,3
Ceca565Ub,2,1,0
Ceca565V3a,2,1,2
Ceca565V3e,2,0,2
Ceca565V5f,2,0,1
Ceca567b,2,2,1
Ceca342V3,2,2,0
Cogi004aU,2,2,0
Cogi004bU,2,1,1
Cogi014,2,2,3
Duno917U,2,2,1
Eume639U,2,2,3
Eudi193aU,2,0,2
Eudi508aU,2,0,1
Frva558,2,2,1
Hala137b,2,2,2
Hala140aU,2,2,2
Hala140bV3,2,1,1
Hasa183b,2,1,0
Lihu699a,2,1,0
Lihu699b,2,2,0
Mero436a,2,0,3
Mero436bV3,2,2,1
Mege668U,2,1,1
Mebec60aU,2,1,3
Mequ706U,2,2,2
Navi758V3a,2,2,1
Navi760Ue,2,0,2
Navi760V3c,2,1,3
Navi760V5a,2,2,0
Navi760V5b,2,1,1
Navi760V5f,2,0,3
Nome633V3,2,1,0
Nome640U,2,1,0
Nome755V3a,2,1,1
Odbr457Ub,2,2,1
Odbr457V3a,2,0,2
Odbr457V5c,2,1,0
Oobi507Ud,2,1,1
Oobi507V3b,2,0,0
Oobi507V3c,2,2,0
Osbi697V3b,2,2,1
Osbi753Ua,2,0,3
