mapped_id,original_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence
P00001,P00001|SI|Conus striatus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus striatus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00006,P00006|OmIA|Conus omaria|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus omaria,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00010,P00010|ImI|Conus imperialis|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus imperialis,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00011,P00011|Ca1.1 precursor|Conus caracteristicus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus caracteristicus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P00013,P00013|Ca1.2 precursor|Conus caracteristicus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus caracteristicus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P00014,P00014|M1A|Conus magus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus magus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P00015,P00015|AnIB|Conus anemone|Wild type|conotoxin||alpha conotoxin|I|protein level,Conus anemone,Wild type,conotoxin,,alpha conotoxin,I,protein level
P00016,P00016|M1B|Conus magus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus magus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P00017,P00017|AnIC|Conus anemone|Wild type|conotoxin|||I|protein level,Conus anemone,Wild type,conotoxin,,,I,protein level
P00022,P00022|GIA|Conus geographus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus geographus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00023,P00023|MI|Conus magus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus magus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00024,P00024|GII|Conus geographus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus geographus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00025,P00025|SIA|Conus striatus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|protein level,Conus striatus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level
P00026,P00026|BuIA|Conus bullatus|Wild type|conotoxin|A superfamily|alpha conotoxin|I|nucleic acid level,Conus bullatus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,nucleic acid level
P00027,P00027|LtXIVA precursor|Conus litteratus|Precursor|conotoxin|L superfamily|||nucleic acid level,Conus litteratus,Precursor,conotoxin,L superfamily,,,nucleic acid level
