mapped_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P00001,Conus striatus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,8.46506,0.23125963,2.7011304,-1.0968826,-1.6157432,-0.52987707,29.219409823417664
P00006,Conus omaria,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,6.1539946,0.18686026,4.426315,-1.7395927,-1.1498364,-0.62547857,12.976540625095367
P00010,Conus imperialis,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,8.264976,0.10337245,3.5111556,-1.4674215,-1.4416912,-0.59947866,9.68683511018753
P00011,Conus caracteristicus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.777579,9.900217,6.5631695,0.5070813,0.6572828,-1.3327012,
P00013,Conus caracteristicus,Precursor,conotoxin,A superfamily,NA,NA,nucleic acid level,8.691495,9.974305,6.7001643,0.38711968,0.6607045,-1.4403803,
P00014,Conus magus,Wild type,conotoxin,A superfamily,NA,I,nucleic acid level,8.581926,0.13630031,1.9319259,-1.538992,-1.2126458,-0.80509907,
P00015,Conus anemone,Wild type,conotoxin,NA,alpha conotoxin,I,protein level,5.7160473,-0.07506357,4.496669,-1.9177263,-0.98956877,-0.5973257,
P00016,Conus magus,Wild type,conotoxin,A superfamily,NA,I,nucleic acid level,8.792849,0.05057093,1.944019,-1.670474,-1.266751,-0.6518391,
P00017,Conus anemone,Wild type,conotoxin,NA,NA,I,protein level,5.904109,0.21705458,4.4471555,-1.7277788,-1.0837762,-0.5394933,
P00022,Conus geographus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,8.28456,0.18522911,2.689599,-1.1801162,-1.5195943,-0.6384773,
P00023,Conus magus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,8.691127,0.059473567,2.301391,-1.6109405,-1.49873,-0.62879735,
P00024,Conus geographus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,8.361853,0.09153445,2.4525027,-1.1934533,-1.4995302,-0.6227036,
P00025,Conus striatus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,8.888995,0.2866432,2.1384208,-1.1710068,-1.3881543,-0.71880615,
P00026,Conus bullatus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,nucleic acid level,7.672262,0.121725805,4.3557515,-1.1708976,-1.56893,-0.6971557,
P00027,Conus litteratus,Precursor,conotoxin,L superfamily,NA,NA,nucleic acid level,8.862819,10.397628,6.835363,0.4637125,0.59039176,-1.3904074,
P00028,Conus regius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,7.866569,0.15127733,3.4299886,-1.6109811,-1.3549715,-0.45440295,
P00029,Conus regius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,7.796894,0.13658798,3.354075,-1.5446805,-1.3391668,-0.38300073,
P00030,Conus regius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,8.163699,0.07408641,3.3209126,-1.938563,-1.4089657,-0.38540313,
P00031,Conus regius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,10.608059,-0.22413568,5.1387606,-1.587414,-1.6091083,-0.3980771,
P00032,Conus regius,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,5.9124117,0.06285449,4.3838997,-1.9180946,-1.1132979,-0.5753429,
P00038,Conus purpurascens,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,8.010864,0.39829975,3.4150543,-1.2373779,-1.3251196,-0.5060799,
P00039,Conus magus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,6.221994,1.0509305,3.5461984,-1.1300288,-0.88806945,-0.73304635,
P00050,Conus ermineus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,7.306483,1.594455,4.521039,-0.5713755,-1.1744039,-0.73390913,
P00051,Conus pennaceus,Wild type,conotoxin,A superfamily,alpha conotoxin,I,protein level,5.6693177,0.009846609,4.2489686,-1.9821897,-1.1259825,-0.75997514,
