mapped_id,original_id,organism,prot_type,toxin_class,gene_superfamily,cystein_framework,pharmacological_family,evidence
P00011,P00011|Ca1.1 precursor|Conus caracteristicus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus caracteristicus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P00013,P00013|Ca1.2 precursor|Conus caracteristicus|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus caracteristicus,Precursor,conotoxin,A superfamily,,,nucleic acid level
P00027,P00027|LtXIVA precursor|Conus litteratus|Precursor|conotoxin|L superfamily|||nucleic acid level,Conus litteratus,Precursor,conotoxin,L superfamily,,,nucleic acid level
P00093,P00093|ImI precursor|Conus imperialis|Precursor|conotoxin|A superfamily|||nucleic acid level,Conus imperialis,Precursor,conotoxin,A superfamily,,,nucleic acid level
P01077,P01077|Im6.8 precursor|Conus imperialis|Precursor|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus imperialis,Precursor,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P01156,P01156|LtVIC precursor|Conus litteratus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus litteratus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
P01163,P01163|LtIIIA precursor|Conus litteratus|Precursor|conotoxin|M superfamily|||nucleic acid level,Conus litteratus,Precursor,conotoxin,M superfamily,,,nucleic acid level
P01164,P01164|LtIIIB precursor|Conus litteratus|Precursor|conotoxin|M superfamily|||nucleic acid level,Conus litteratus,Precursor,conotoxin,M superfamily,,,nucleic acid level
P01175,P01175|Contryphan-Lt1 precursor|Conus litteratus|Precursor|contryphan|O2 superfamily|||nucleic acid level,Conus litteratus,Precursor,contryphan,O2 superfamily,,,nucleic acid level
P02815,P02815|Ca5.1 precursor|Conus caracteristicus|Precursor|conotoxin|T superfamily|||nucleic acid level,Conus caracteristicus,Precursor,conotoxin,T superfamily,,,nucleic acid level
P02872,P02872|CVID precursor|Conus catus|Precursor|conotoxin|O1 superfamily|||nucleic acid level,Conus catus,Precursor,conotoxin,O1 superfamily,,,nucleic acid level
