identifier,name_infered_activity,family,genus,species,evolutionary_order,cystein_group,major_group,zhang_subfamily,zhang_toxinType,zhang_conformation,ritu_class,activity,receptor,groups,representative,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance,x_tsne,y_tsne,z_tsne
None|Vako_dn4|Varanus komodoensis,NA,Varanidae,Varanus,Varanus komodoensis,2.0,pre-3FTx,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.3246336,4.328878,4.080278,-0.39962092,1.27018,0.10667592,,3.9532132,-3.2126513,10.934507
None|Xetr_1|Xenopus tropicalis,NA,Pipidae,Xenopus,Xenopus tropicalis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.746759,4.007277,5.9895425,1.3990299,1.0472307,0.3819523,,5.1230383,-9.503138,9.889643
None|Xetr_5|Xenopus tropicalis,NA,Pipidae,Xenopus,Xenopus tropicalis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.385495,3.964313,5.9903364,1.5585946,1.0334651,0.4647099,,4.8058953,-9.234064,9.224558
SP|O43653|Homo sapiens,Ly6,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,8.067447,3.867319,7.0549903,3.428865,0.878948,-0.411467,,5.0914726,-13.265758,12.487885
SP|P55000|Homo sapiens,NA,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,8.606418,3.5867522,6.5488253,1.9977072,0.7439279,-0.17936328,,3.2723587,-10.629088,15.213606
None|Phci_8|Phascolarctos cinereus,NA,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.6270123,3.9841995,5.2419896,0.5804973,1.216352,0.10272613,,4.2614875,-6.9607663,10.827923
None|Anca_4|Anolis carolinensis,NA,Dactyloidae,Anolis,Anolis carolinensis,2.0,pre-3FTx,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,6.763428,4.652572,3.4378045,-0.48300996,1.0565535,-0.047468383,,3.4291208,-1.8740766,10.716774
None|Xetr_7|Xenopus tropicalis,NA,Pipidae,Xenopus,Xenopus tropicalis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.6111546,4.1210594,5.5522633,0.827488,0.98996025,0.4302907,,4.223204,-8.128155,9.414082
None|Oran_1|Ornithorhynchus anatinus,NA,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.9990034,4.3827953,4.951888,0.33105838,1.6059786,-0.09971298,,4.9841356,-4.5914807,14.303486
None|Anca_3|Anolis carolinensis,NA,Dactyloidae,Anolis,Anolis carolinensis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,8.450839,3.530824,5.064996,0.53680754,0.9502954,0.14772007,,0.84558403,-6.579619,12.980256
None|Hosa_13|Homo sapiens,Ly6,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,8.522811,4.1541123,6.6121836,2.0648332,1.07978,0.069745645,,5.7396007,-11.306302,13.851296
SP|Q9PTT0|Naja naja,Cobrotoxin,Elapidae,Naja,Naja naja,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7146974,-5.155312,-0.5938678,-0.034435686,-0.23938598,0.48850557,,-15.76065,4.4574704,-0.81077504
None|Nana_c3_dn_19|Naja naja,NA,Elapidae,Naja,Naja naja,6.0,snake genomic,snake genomic,NA,NA,NA,NA,NA,NA,NA,NA,6.849938,6.158389,2.549368,-1.9339924,0.6358886,-0.48596507,,2.0447276,4.53864,10.239343
None|Pybi_1|Python bivittatus,NA,Pythonidae,Python,Python bivittatus,1.0,snake genomic,snake genomic,NA,NA,NA,NA,NA,NA,NA,NA,7.358542,3.0929627,5.6968303,0.86920154,1.0841763,-0.07963922,,1.5585938,-9.051065,8.772855
None|Oran9|Ornithorhynchus anatinus,NA,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.154446,4.376589,3.964084,-0.47559714,1.1159446,0.1583166,,4.213507,-3.4864123,10.706039
None|Phci_2|Phascolarctos cinereus,NA,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,8.8757,4.045356,4.9357867,0.5666461,1.3716447,0.3372945,,2.4860027,-6.114907,15.2235365
NCBI|Pste_2|Pseudonaja textilis,NA,Elapidae,Pseudonaja,Pseudonaja textilis,1.0,snake genomic,snake genomic,NA,NA,NA,NA,NA,NA,NA,NA,8.348441,3.757846,5.4425116,0.73950756,1.1165138,-0.2689952,,1.0271783,-10.709573,12.968736
None|Anca_5|Anolis carolinensis,NA,Dactyloidae,Anolis,Anolis carolinensis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,6.976362,3.4281127,7.34634,2.499795,0.945122,0.25014183,,3.8068488,-13.340951,7.745669
None|Anca_8|Anolis carolinensis,NA,Dactyloidae,Anolis,Anolis carolinensis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,6.813362,3.2696118,4.9834976,0.5391234,0.76351476,-0.4505629,,0.01579086,-6.3615594,6.8325663
None|Alsi_5|Alligator sinensis,NA,Alligatoridae,Alligator,Alligator sinensis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.1500797,3.5166562,7.4170375,3.5605998,0.44054237,0.4684634,,4.275,-14.744305,8.78878
None|Chmy_11|Chelonia mydas,NA,Cheloniidae,Chelonia,Chelonia mydas,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.4189806,3.325835,7.355833,3.1041577,0.545781,-0.039589245,,2.8816483,-14.185625,9.574422
None|Bmul_scaffold7_G00802_t1_mka|Bungarus multicinctus,NA,Elapidae,Bungarus,Bungarus multicinctus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5110683,5.458555,2.2044234,-1.0984994,0.25725794,-0.17673264,,-0.2237179,8.0782385,8.237173
None|Alsi_4|Alligator sinensis,NA,Alligatoridae,Alligator,Alligator sinensis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.6778464,4.134285,4.6080914,0.21444589,0.95673287,0.17275956,,2.9122488,-5.59246,11.100613
None|Gaga_4|Gallus gallus,NA,Phasianidae,Gallus,Gallus gallus,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.3372045,3.6116285,7.483432,5.559676,-0.3603027,0.26093715,,4.5125265,-15.596581,9.417448
None|Chmy_5|Chelonia mydas,NA,Cheloniidae,Chelonia,Chelonia mydas,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.2909265,3.3389947,7.6923437,3.0427911,0.6907307,0.17595774,,3.8349009,-14.198626,8.524845
None|Chmy_9|Chelonia mydas,NA,Cheloniidae,Chelonia,Chelonia mydas,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,7.5165877,3.006322,5.8934245,1.2131896,0.71561515,-0.29873943,,0.48268965,-9.630923,10.040653
None|Alsi_2|Alligator sinensis,NA,Alligatoridae,Alligator,Alligator sinensis,1.0,Ly-6,Ly-6,NA,NA,NA,NA,NA,NA,NA,NA,8.954495,3.7052574,5.590573,1.0557923,1.2038078,0.15942544,,1.778701,-8.464984,14.113301
