id,pharmacologicalFamily,cysteineFramewrok,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P00005,alpha conotoxin,I,-0.08386381,6.03821,4.846923,-1.1735704,1.3323919,0.039205223,32.7164351940155
P00008,alpha conotoxin,I,0.49408534,6.0212727,4.5985503,-0.72089714,1.1687293,-0.07353992,16.026657819747925
P00009,alpha conotoxin,II,2.4608183,4.8891144,-0.04284306,-0.29361,1.2154431,-0.43568963,5.343020707368851
P00011,NA,I,0.9157857,4.94879,3.5096862,-0.35901392,1.2740297,-0.13236202,
P00012,NA,I,1.0149599,4.144496,2.3242192,-0.8742045,1.6619438,0.044226278,
P00013,NA,I,2.272965,6.8332376,1.945456,0.5483031,0.6973928,-0.65174323,
P00018,kappa conotoxin,IV,3.0676575,7.900791,1.5051504,0.6496156,0.6658626,-0.8402693,
P00019,NA,I,-0.5195846,5.572024,5.269454,-1.4433037,1.4177679,0.13369814,
P00020,NA,I,0.2882725,5.1591954,0.12857343,-0.43927583,1.4888262,0.05511382,
P00021,NA,IV,3.550963,8.92961,1.5079988,2.1102207,-0.19972028,-0.40148354,
P00027,alpha conotoxin,XIV,2.4251812,9.215675,0.47885627,1.5510317,0.7355953,1.2437849,
P00036,alpha conotoxin,I,-0.50084984,5.615015,5.2468414,-1.3666039,1.3863488,0.20808357,
P00037,NA,I,-0.4351738,5.392529,5.278001,-1.4418266,1.3226926,0.19865756,
P00052,NA,I,1.6613237,6.6744585,4.1920395,-0.4120969,0.9355745,-0.8385465,
P00053,NA,I,1.5541737,6.5011263,4.1952553,-0.5725964,1.0898441,-0.6595899,
P00076,alpha conotoxin,I,1.1847693,3.8008206,2.416524,-0.6789185,1.6248102,-0.14147368,
P00077,NA,NA,1.6425949,12.552039,1.3753468,2.3792508,-0.060895495,0.6712242,
P00078,NA,I,0.0315498,5.169471,0.08139565,-0.3600934,1.5177808,0.33204284,
P00091,alpha conotoxin,II,2.3259983,4.8466096,0.038615406,-0.29361,1.2154431,-0.435688,
P00092,alpha conotoxin,I,0.6129044,4.520847,1.5374179,-0.67543966,1.439487,0.20802088,
P00093,alpha conotoxin,I,0.687604,4.4345245,2.1088033,-1.0407809,1.5848722,0.12560192,
P00094,kappa conotoxin,IV,2.7668152,9.147687,1.0358672,2.048983,0.21310538,0.58605516,
P00097,alpha conotoxin,I,-0.75078714,5.3740354,4.5518355,-1.4067111,1.4912274,0.15452169,
P00117,NA,I,2.0681765,6.6519213,3.542096,0.115510836,0.97510266,-1.1059455,
P00118,alpha conotoxin,I,0.7953883,4.3893924,2.783097,-0.76075536,1.5283257,-0.04709382,
P00119,alpha conotoxin,I,2.312875,11.097133,1.2557567,1.7867533,0.5778954,0.328169,
P00120,NA,I,-0.28361785,5.5119286,4.656836,-1.2625582,1.3765688,0.09209528,
P00121,NA,I,1.1111523,6.2288923,3.8259878,-0.44752666,1.289465,-0.3758746,
P00122,NA,I,0.3905607,5.996127,4.111472,-0.63363564,1.381794,-0.34851924,
P00123,NA,I,-0.46127036,5.632232,5.267508,-1.4433037,1.4177679,0.13369814,
P00125,NA,I,0.25494078,6.0445595,4.9463,-1.1570483,1.2710114,-0.21061282,
P00126,NA,I,1.6306931,6.75428,4.1750355,-0.5622136,0.80851305,-0.7993214,
P00127,NA,I,0.072478764,5.3841496,4.2611804,-0.9253815,1.3752025,-0.27909854,
P00409,alpha conotoxin,I,-0.23412092,5.4169593,3.182279,-0.7369493,1.6780071,0.41060346,
P00410,alpha conotoxin,I,1.1205524,6.262761,4.044667,-0.47236392,1.3145862,-0.40273136,
P00499,NA,I,0.5471463,5.6929154,5.0020556,-1.0446311,1.2426307,-0.27672827,
P00511,NA,I,1.9798132,6.517929,3.5068064,-0.010561233,1.022308,-0.93076795,
P00512,NA,I,2.6546052,11.444844,1.0231292,2.0851867,-0.04862493,0.48909557,
P00513,NA,I,1.6565645,6.724996,4.291607,-0.4120969,0.9355745,-0.8385465,
P00541,NA,I,0.14505056,5.547978,4.316272,-1.0886271,1.4494536,0.08122269,
P00542,NA,I,3.9248874,9.818387,0.26607013,1.8039384,-0.24744074,0.29009923,
P00543,alpha conotoxin,I,2.2303867,11.093753,1.3102248,1.7867533,0.5778954,0.328169,
P00544,NA,I,2.6555,11.554718,0.9918253,2.116436,-0.08001621,0.5700703,
P00545,NA,I,1.2713645,3.2913308,1.8806025,-0.85589623,1.589368,-0.18023123,
P00546,NA,I,0.39518726,6.1233,4.1789956,-0.63363564,1.381794,-0.34851924,
P00547,NA,I,2.0647993,7.0729227,0.60213643,0.58563906,0.7329709,-0.124510154,
P00548,NA,NA,2.4129267,10.819225,1.2624084,2.29373,0.12884243,0.02278013,
P00549,NA,NA,4.8960204,10.59935,0.21991116,2.659989,-0.7099714,1.1138988,
P00551,NA,I,1.973763,6.4049244,3.4653585,-0.010561233,1.022308,-0.93076795,
P00552,NA,I,2.66462,6.8121595,3.5273695,0.20008545,0.2972381,-0.9868455,
P00553,NA,I,3.2294655,7.084485,2.9006042,0.6600302,0.19963598,-0.84646916,
P00554,NA,I,1.9603474,6.5524607,3.4395916,-0.010561233,1.022308,-0.93076795,
P00555,NA,NA,2.4762487,10.808788,1.0934829,2.29373,0.12884243,0.02278013,
P00556,NA,I,1.8447798,6.5476255,3.634664,-0.18191443,1.1439224,-0.8543304,
P00557,alpha conotoxin,I,0.7437706,4.3206444,2.8181217,-0.76075536,1.5283257,-0.04709382,
P00558,NA,I,0.2467657,5.9724283,4.9392705,-1.1252717,1.3085676,-0.17847514,
P00559,NA,I,0.36819175,5.9421587,4.864118,-0.9931256,1.3341289,-0.2784289,
P00560,NA,I,-0.40747154,5.880426,4.932661,-1.411087,1.3562753,0.13680069,
P00561,NA,I,-0.45207065,5.45056,4.4085984,-1.1456734,1.406509,-0.20835489,
P00562,alpha conotoxin,I,1.525571,3.3577814,1.8462658,-0.81735396,1.5441803,-0.2777678,
P00563,NA,IV,2.605135,7.4578695,1.7510649,0.660412,0.9178332,-0.39334813,
P00564,NA,IV,3.1619954,8.9436,1.4900706,1.9248853,-0.026689162,-0.18556093,
P00565,NA,IV,3.2595654,8.581568,1.6713105,1.3175704,0.17452435,-0.8119617,
P00566,NA,I,1.4771067,6.429357,3.9987655,-0.42282292,1.1043268,-0.54398227,
P00567,NA,I,-0.46951175,5.6367216,5.178057,-1.4433037,1.4177679,0.13369814,
P00568,NA,I,-0.2907016,5.576784,4.563012,-1.3079443,1.3803842,0.19647604,
P00569,NA,I,0.7485155,4.647849,2.933773,-0.78773165,1.390139,-0.074316606,
P00570,alpha conotoxin,I,1.4635496,3.2796443,1.725476,-0.81735396,1.5441803,-0.2777678,
P00571,NA,I,1.4413866,3.3312514,1.8535348,-0.85589623,1.589368,-0.18023123,
P00573,NA,I,2.2727635,7.3919287,0.34879678,0.75844175,0.5693365,0.06001428,
P00574,NA,I,1.0735648,5.7502675,4.6008506,-0.764313,1.1825233,-0.37517673,
P00593,alpha conotoxin,I,0.6771853,4.3934274,1.973391,-1.2010624,1.4488225,0.18252403,
P00596,NA,VI/VII,11.932684,3.3870754,2.9775505,-1.7808387,-0.8334034,0.4067384,
P00597,mu conotoxin,VI/VII,9.154317,6.778526,-1.1004841,-1.2011799,-1.1201869,0.09728241,
P00598,delta conotoxin,VI/VII,10.864531,4.415065,-2.780582,-2.026555,-1.2478172,0.75839794,
P00599,NA,VI/VII,8.605594,5.810782,-1.1454252,0.05196121,-0.87990856,0.270236,
P00600,NA,VI/VII,9.78184,5.1095853,-2.413718,-1.390695,-0.79140455,0.66566336,
P00601,NA,VI/VII,9.927729,3.6876354,4.7239876,-2.1152816,-1.2895449,0.5209824,
P00602,NA,VI/VII,9.642763,3.2257588,4.0698085,-1.8339063,-1.0722517,0.50388914,
P00603,NA,VI/VII,10.427722,3.1142874,4.21822,-1.7535695,-1.2353919,0.3208523,
P00604,NA,VI/VII,8.833584,1.2816067,3.4250653,-1.6896634,-1.5938387,0.6827517,
P00605,NA,VI/VII,10.018875,4.5801973,3.1700487,-1.4103494,-1.1156731,-0.115076825,
P00606,NA,VI/VII,9.032754,2.9136121,3.6334422,-1.9444559,-1.3746918,0.7428195,
P00607,NA,VI/VII,10.317123,5.0666504,3.8670697,-1.363212,-1.2782686,-0.025795756,
P00608,NA,IX,7.6000786,5.4084115,1.9472896,-0.75451785,-0.4109941,-0.26518953,
P00609,NA,IX,7.646289,5.623212,2.010286,-0.8140635,-0.3519298,-0.14914095,
P00610,NA,III,-0.41711625,2.788186,-0.74760526,-1.2216282,1.6506659,0.58820194,
P00611,NA,III,-0.42422915,2.6957057,-0.72221947,-1.2216282,1.6506659,0.58820194,
P00612,NA,III,-0.38667187,2.3525875,-0.83982396,-1.6562157,1.7238721,0.7922221,
P00613,NA,III,-1.0362439,2.0982282,-1.2857534,-1.5376933,1.5053579,0.63901716,
P00614,NA,III,1.1407436,5.400922,-3.602952,-0.9945748,1.2688503,-0.117913045,
P00615,NA,III,0.36231518,2.0156753,-1.6448482,-0.78649336,1.4787973,-0.070108645,
P00616,NA,III,-0.2567655,0.5264643,-2.1756275,-1.5547056,1.6705254,0.7577039,
P00617,NA,III,0.8249447,4.7046475,-0.056581233,-0.7612253,1.4446939,-0.03826597,
P00618,mu conotoxin,IV,-1.4239501,4.3692822,-0.6767069,-0.98248315,1.3912092,0.298304,
P00619,NA,III,-0.48304492,2.3175912,-0.61349565,-1.40437,1.6235204,0.76663655,
P00620,NA,III,-0.32884008,3.2909367,-0.3713617,-0.77088016,1.570219,0.91889584,
P00621,NA,III,-1.5548886,1.3734274,0.499519,-1.4210145,1.6208352,0.5678105,
P00622,NA,III,-1.3579235,1.5073112,0.7012091,-1.1558108,1.5413082,0.25822836,
P00623,NA,III,-1.3498574,1.564984,0.38791564,-1.4179531,1.6468102,0.66146106,
P00624,NA,III,-1.4425046,1.5069191,0.35221574,-1.4179531,1.6468102,0.66146106,
P00625,NA,III,-1.2553297,1.7931043,0.1525123,-1.5340542,1.5439929,0.8223386,
P00626,NA,III,-1.4414269,1.4654142,0.5222111,-1.4179531,1.6468102,0.66146106,
P00627,NA,III,-1.178579,1.9144504,-0.014726295,-1.4715725,1.6048852,0.6755766,
P00628,NA,III,-1.1691347,1.8614668,0.114130564,-1.5340542,1.5439929,0.8223386,
P00629,NA,III,1.0912516,5.585821,-1.4885544,-0.33032027,1.1295117,-0.15903156,
P00630,NA,III,0.024775581,4.950356,-1.327964,-0.5652031,1.3983992,0.19943878,
P00631,NA,III,-0.15785946,5.1272416,-1.3463944,-0.64848703,1.2432188,0.03346377,
P00632,NA,III,1.7310622,5.3860636,-1.1394025,-0.02390729,1.1561354,-0.0646636,
