identifier,name_infered_activity,family,genus,species,evolutionary_order,cystein_group,major_group,zhang_subfamily,zhang_toxinType,zhang_conformation,ritu_class,activity,receptor,groups,representative
None|Vako_dn4|Varanus komodoensis,,Varanidae,Varanus,Varanus komodoensis,2.0,pre-3FTx,Ly-6,,,,,,,,
None|Xetr_1|Xenopus tropicalis,,Pipidae,Xenopus,Xenopus tropicalis,1.0,Ly-6,Ly-6,,,,,,,,
None|Xetr_5|Xenopus tropicalis,,Pipidae,Xenopus,Xenopus tropicalis,1.0,Ly-6,Ly-6,,,,,,,,
SP|O43653|Homo sapiens,Ly6,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,,,,,,,,
SP|P55000|Homo sapiens,,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,,,,,,,,
None|Phci_8|Phascolarctos cinereus,,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,1.0,Ly-6,Ly-6,,,,,,,,
None|Anca_4|Anolis carolinensis,,Dactyloidae,Anolis,Anolis carolinensis,2.0,pre-3FTx,Ly-6,,,,,,,,
None|Xetr_7|Xenopus tropicalis,,Pipidae,Xenopus,Xenopus tropicalis,1.0,Ly-6,Ly-6,,,,,,,,
None|Oran_1|Ornithorhynchus anatinus,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,1.0,Ly-6,Ly-6,,,,,,,,
None|Anca_3|Anolis carolinensis,,Dactyloidae,Anolis,Anolis carolinensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Hosa_13|Homo sapiens,Ly6,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,,,,,,,,
SP|Q9PTT0|Naja naja,Cobrotoxin,Elapidae,Naja,Naja naja,,,,,,,,,,,
None|Nana_c3_dn_19|Naja naja,,Elapidae,Naja,Naja naja,6.0,snake genomic,snake genomic,,,,,,,,
None|Pybi_1|Python bivittatus,,Pythonidae,Python,Python bivittatus,1.0,snake genomic,snake genomic,,,,,,,,
None|Oran9|Ornithorhynchus anatinus,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,1.0,Ly-6,Ly-6,,,,,,,,
None|Phci_2|Phascolarctos cinereus,,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,1.0,Ly-6,Ly-6,,,,,,,,
NCBI|Pste_2|Pseudonaja textilis,,Elapidae,Pseudonaja,Pseudonaja textilis,1.0,snake genomic,snake genomic,,,,,,,,
None|Anca_5|Anolis carolinensis,,Dactyloidae,Anolis,Anolis carolinensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Anca_8|Anolis carolinensis,,Dactyloidae,Anolis,Anolis carolinensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Alsi_5|Alligator sinensis,,Alligatoridae,Alligator,Alligator sinensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Chmy_11|Chelonia mydas,,Cheloniidae,Chelonia,Chelonia mydas,1.0,Ly-6,Ly-6,,,,,,,,
None|Bmul_scaffold7_G00802_t1_mka|Bungarus multicinctus,,Elapidae,Bungarus,Bungarus multicinctus,,,,,,,,,,,
None|Alsi_4|Alligator sinensis,,Alligatoridae,Alligator,Alligator sinensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Gaga_4|Gallus gallus,,Phasianidae,Gallus,Gallus gallus,1.0,Ly-6,Ly-6,,,,,,,,
None|Chmy_5|Chelonia mydas,,Cheloniidae,Chelonia,Chelonia mydas,1.0,Ly-6,Ly-6,,,,,,,,
None|Chmy_9|Chelonia mydas,,Cheloniidae,Chelonia,Chelonia mydas,1.0,Ly-6,Ly-6,,,,,,,,
None|Alsi_2|Alligator sinensis,,Alligatoridae,Alligator,Alligator sinensis,1.0,Ly-6,Ly-6,,,,,,,,
SP|Q8IV16|Homo sapiens,GPIHBP1,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,,,,,,,,
TR|F5CPD4|Micrurus altirostris,,Elapidae,Micrurus,Micrurus altirostris,3.0,Basal,3FTx,,,,,,,,
TR|U3FVH6|Micrurus fulvius,,Elapidae,Micrurus,Micrurus fulvius,3.0,Basal,3FTx,,,,,,,,
None|Chmy_10|Chelonia mydas,,Cheloniidae,Chelonia,Chelonia mydas,1.0,Ly-6,Ly-6,,,,,,,,
None|Cvir_PDHV02000188_1_35190_37247_mka|Crotalus viridis,,Viperidae,Crotalus,Crotalus viridis,,,,,,,,,,,
None|Dacu_scaffold1201_gene_1_mRNA_1_mka|Deinagkistrodon acutus,,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,,,,,,,,,,,
None|Dacu_scaffold1201_gene_1_mRNA_5_mka|Deinagkistrodon acutus,,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,,,,,,,,,,,
None|Dacu_scaffold1201_gene_1_mRNA_2_mka|Deinagkistrodon acutus,,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,,,,,,,,,,,
NCBI|CROTI_XM_039332038.1_21_260|Crotalus tigris,,Viperidae,Crotalus,Crotalus tigris,,,,,,,,,,,
None|Dacu_scaffold1201_gene_1_mRNA_3_mka|Deinagkistrodon acutus,,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,,,,,,,,,,,
NCBI|Tele_rna_XM_032222667_1_mka|Thamnophis elegans,,Colubridae,Thamnophis,Thamnophis elegans,,,,,,,,,,,
None|Bmul_scaffold7_G00807_t1_mka|Bungarus multicinctus,,Elapidae,Bungarus,Bungarus multicinctus,,,,,,,,,,,
NCBI|THAEL_XM_032222748.1_26_265|Thamnophis elegans,,Colubridae,Thamnophis,Thamnophis elegans,,,,,,,,,,,
NCBI|Tele_rna_XM_032222748_1_mka|Thamnophis elegans,,Colubridae,Thamnophis,Thamnophis elegans,,,,,,,,,,,
None|Bmul_scaffold7_G00808_t1_mka|Bungarus multicinctus,,Elapidae,Bungarus,Bungarus multicinctus,,,,,,,,,,,
None|Dacu_scaffold1201_gene_1_mRNA_6|Deinagkistrodon acutus,,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,,,,,,,,,,,
TR|A0A194ASE3|Micrurus tener,,Elapidae,Micrurus,Micrurus tener,4.0,Short-chain,3FTx,,,,,,,,
TR|A0A194ARC5|Micrurus tener,,Elapidae,Micrurus,Micrurus tener,4.0,Short-chain,3FTx,,,,,,,,
TR|U3FYR0|Micrurus fulvius,,Elapidae,Micrurus,Micrurus fulvius,4.0,Short-chain,3FTx,,,,,,,,
TR|U3FYQ5|Micrurus fulvius,,Elapidae,Micrurus,Micrurus fulvius,4.0,Short-chain,3FTx,,,,,,,,
TR|U3FVG5|Micrurus fulvius,,Elapidae,Micrurus,Micrurus fulvius,4.0,Short-chain,3FTx,,,,,,,,
TR|U3F5B5|Micrurus fulvius,,Elapidae,Micrurus,Micrurus fulvius,4.0,Short-chain,3FTx,,,,,,,,
TR|A0A194AT81|Micrurus tener,,Elapidae,Micrurus,Micrurus tener,4.0,Short-chain,3FTx,,,,,,,,
TR|A0A194APB1|Micrurus tener,,Elapidae,Micrurus,Micrurus tener,4.0,Short-chain,3FTx,,,,,,,,
None|Bmul_scaffold7_G00803_t1_mka|Bungarus multicinctus,,Elapidae,Bungarus,Bungarus multicinctus,,,,,,,,,,,
None|Gaga_7|Gallus gallus,,Phasianidae,Gallus,Gallus gallus,1.0,Ly-6,Ly-6,,,,,,,,
None|Oran_dn_10|Ornithorhynchus anatinus,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,1.0,Ly-6,Ly-6,,,,,,,,
None|Dacu_scaffold1201_gene_1_mRNA_4_mka|Deinagkistrodon acutus,,Viperidae,Deinagkistrodon,Deinagkistrodon acutus,,,,,,,,,,,
TR|A0A098LYH6|Pantherophis guttatus,,Colubridae,Pantherophis,Pantherophis guttatus,,,,,,,,,,,
None|Vako7|Varanus komodoensis,,Varanidae,Varanus,Varanus komodoensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Anca_6|Anolis carolinensis,,Dactyloidae,Anolis,Anolis carolinensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Povi_6|Pogona vitticeps,,Agamidae,Pogona,Pogona vitticeps,1.0,Ly-6,Ly-6,,,,,,,,
None|Vako5|Varanus komodoensis,,Varanidae,Varanus,Varanus komodoensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Gaga_8|Gallus gallus,,Phasianidae,Gallus,Gallus gallus,1.0,Ly-6,Ly-6,,,,,,,,
None|Gaga_6|Gallus gallus,,Phasianidae,Gallus,Gallus gallus,1.0,Ly-6,Ly-6,,,,,,,,
None|Prmu_6|Protobothrops mucrosquamatus,,Viperidae,Protobothrops,Protobothrops mucrosquamatus,1.0,snake genomic,snake genomic,,,,,,,,
None|Povi_7|Pogona vitticeps,,Agamidae,Pogona,Pogona vitticeps,1.0,Ly-6,Ly-6,,,,,,,,
SP|A7X3M9|Erythrolamprus poecilogyrus,Probable weak neurotoxin,Dipsadidae,Erythrolamprus,Erythrolamprus poecilogyrus,3.0,Basal,3FTx,,,,,,,,
None|Pybi_3|Python bivittatus,,Pythonidae,Python,Python bivittatus,1.0,snake genomic,snake genomic,,,,,,,,
None|Nana_c3_dn_7|Naja naja,,Elapidae,Naja,Naja naja,1.0,snake genomic,snake genomic,,,,,,,,
TR|M9SZR1|Cylindrophis ruffus,,Cylindrophiidae,Cylindrophis,Cylindrophis ruffus,3.0,Basal,3FTx,,,,,,,,
TR|A0A098LWQ5|Python regius,,Pythonidae,Python,Python regius,3.0,Basal,3FTx,,,,,,,,
TR|M9T1L2|Aspidites melanocephalus,,Pythonidae,Aspidites,Aspidites melanocephalus,3.0,Basal,3FTx,,,,,,,,
TR|M9T271|Aspidites melanocephalus,,Pythonidae,Aspidites,Aspidites melanocephalus,3.0,Basal,3FTx,,,,,,,,
None|Phci_4|Phascolarctos cinereus,,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,1.0,Ly-6,Ly-6,,,,,,,,
None|Chmy_3|Chelonia mydas,,Cheloniidae,Chelonia,Chelonia mydas,1.0,Ly-6,Ly-6,,,,,,,,
SP|Q16553|Homo sapiens,Ly6,Hominidae,Homo,Homo sapiens,1.0,Ly-6,Ly-6,,,,,,,,
None|Phci_16|Phascolarctos cinereus,,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,1.0,Ly-6,Ly-6,,,,,,,,
NCBI|Boiga_dendrophila_dendrophila_GGUB01000027|Boiga dendrophila dendrophila,,Colubridae,Boiga,Boiga dendrophila dendrophila,3.0,Basal,3FTx,,,,,,,,
None|Bmul_scaffold7_G00817_t1|Bungarus multicinctus,,Elapidae,Bungarus,Bungarus multicinctus,,,3FTX,Orphan VIII,neurotoxin,short chain,,,,,
None|Nana_c3_dn_23|Naja naja,,Elapidae,Naja,Naja naja,4.0,snake genomic,snake genomic,,,,,,,,
SP|Q2VBP8|Ophiophagus hannah,Long neurotoxin,Elapidae,Ophiophagus,Ophiophagus hannah,5.0,Long-chain,3FTx,,,,,,,,
SP|Q8UW29|Hydrophis hardwickii,Long neurotoxin,Hydrophiidae,Hydrophis,Hydrophis hardwickii,5.0,Long-chain,3FTx,,,,,,,,
None|Hcur_superscaf_587_797385_795811|Hydrophis curtus,,Hydrophiidae,Hydrophis,Hydrophis curtus,,,,,,,,,,,
SP|A3FM53|Hydrophis hardwickii,Long neurotoxin,Hydrophiidae,Hydrophis,Hydrophis hardwickii,5.0,Long-chain,3FTx,,,,,,,,
None|Chmy_12|Chelonia mydas,,Cheloniidae,Chelonia,Chelonia mydas,1.0,Ly-6,Ly-6,,,,,,,,
TR|A7X3U4|Thrasops jacksonii,,Colubridae,Thrasops,Thrasops jacksonii,3.0,Basal,3FTx,,,,,,,,
None|Phci_5|Phascolarctos cinereus,,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,1.0,Ly-6,Ly-6,,,,,,,,
None|Gaga_3|Gallus gallus,,Phasianidae,Gallus,Gallus gallus,1.0,Ly-6,Ly-6,,,,,,,,
None|Oran8|Ornithorhynchus anatinus,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,1.0,Ly-6,Ly-6,,,,,,,,
None|Alsi_7|Alligator sinensis,,Alligatoridae,Alligator,Alligator sinensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Oran_dn4|Ornithorhynchus anatinus,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,1.0,Ly-6,Ly-6,,,,,,,,
None|Gaga_2|Gallus gallus,,Phasianidae,Gallus,Gallus gallus,1.0,Ly-6,Ly-6,,,,,,,,
None|Oran2|Ornithorhynchus anatinus,,Ornithorhynchidae,Ornithorhynchus,Ornithorhynchus anatinus,1.0,Ly-6,Ly-6,,,,,,,,
SP|Q53B52|Ophiophagus hannah,Short neurotoxin,Elapidae,Ophiophagus,Ophiophagus hannah,4.0,Short-chain,3FTx,,,,,,,,
SP|Q53B48|Ophiophagus hannah,Short neurotoxin,Elapidae,Ophiophagus,Ophiophagus hannah,4.0,Short-chain,3FTx,,,,,,,,
SP|Q53B47|Ophiophagus hannah,Short neurotoxin,Elapidae,Ophiophagus,Ophiophagus hannah,4.0,Short-chain,3FTx,,,,,,,,
SP|Q53B50|Ophiophagus hannah,Short neurotoxin,Elapidae,Ophiophagus,Ophiophagus hannah,4.0,Short-chain,3FTx,,,,,,,,
None|Alsi_10|Alligator sinensis,,Alligatoridae,Alligator,Alligator sinensis,1.0,Ly-6,Ly-6,,,,,,,,
None|Nana_c3_11|Naja naja,,Elapidae,Naja,Naja naja,1.0,snake genomic,snake genomic,,,,,,,,
NCBI|Pste_6|Pseudonaja textilis,,Elapidae,Pseudonaja,Pseudonaja textilis,1.0,snake genomic,snake genomic,,,,,,,,
TR|A0A898IN41|Calliophis bivirgatus,,Elapidae,Calliophis,Calliophis bivirgatus,4.0,Short-chain,3FTx,,,,,,,,
SP|Q69CJ8|Ophiophagus hannah,Weak toxin,Elapidae,Ophiophagus,Ophiophagus hannah,4.0,Short-chain,3FTx,,,,,,,,
NCBI|Pste_7|Pseudonaja textilis,,Elapidae,Pseudonaja,Pseudonaja textilis,1.0,snake genomic,snake genomic,,,,,,,,
None|Vako6|Varanus komodoensis,,Varanidae,Varanus,Varanus komodoensis,1.0,Ly-6,Ly-6,,,,,,,,
