id,pharmacologicalFamily,cysteineFramewrok,x_umap,y_umap,z_umap,x_pca,y_pca,z_pca,variance
P00005,alpha conotoxin,I,3.0130415,4.13382,8.196982,-1.0875022,1.5000969,0.35103285,33.696454763412476
P00008,alpha conotoxin,I,2.4743457,4.3893204,7.9410877,-0.6378652,1.3158108,0.17122062,15.75690507888794
P00009,alpha conotoxin,II,1.8815925,4.2742968,2.861573,-0.1784017,1.3465841,-0.38896075,5.19491508603096
P00011,NA,I,2.0102484,4.205594,6.9102883,-0.2635911,1.3616995,-0.03765076,
P00012,NA,I,,,,,,,
P00013,NA,I,2.3454254,5.935594,5.0313306,0.6417281,0.81761426,-0.5739483,
P00018,kappa conotoxin,IV,2.9507632,7.011148,4.1101975,0.9279541,0.7194068,-0.7026878,
P00019,NA,I,2.9384866,3.7853434,8.784806,-1.345963,1.592582,0.4656662,
P00020,NA,I,,,,,,,
P00021,NA,IV,3.4472392,7.526479,3.848201,1.9291521,-0.010285573,-0.45527846,
P00027,alpha conotoxin,XIV,,,,,,,
P00036,alpha conotoxin,I,2.6731684,3.5851676,8.891132,-1.406295,1.6200923,0.634487,
P00037,NA,I,2.686519,3.7462401,8.842417,-1.3504092,1.4807271,0.4764974,
P00052,NA,I,2.7838273,5.6681037,7.10602,-0.3157754,1.1306463,-0.5777006,
P00053,NA,I,2.4733658,5.09459,7.3774137,-0.6164703,1.3297682,-0.23234057,
P00076,alpha conotoxin,I,,,,,,,
P00077,NA,NA,,,,,,,
P00078,NA,I,,,,,,,
P00091,alpha conotoxin,II,1.8561298,4.3576193,2.815934,-0.1784017,1.3465841,-0.38896057,
P00092,alpha conotoxin,I,,,,,,,
P00093,alpha conotoxin,I,,,,,,,
P00094,kappa conotoxin,IV,2.8551445,7.350833,3.5811324,1.6195859,0.5385385,0.15092406,
P00097,alpha conotoxin,I,2.9134028,3.1179147,8.288066,-1.3026314,1.6586201,0.47563523,
P00117,NA,I,2.7692256,5.9425282,6.443824,0.21851267,1.1538926,-0.91037416,
P00118,alpha conotoxin,I,,,,,,,
P00119,alpha conotoxin,I,2.3312552,7.2422028,5.5669813,1.8355166,0.60503215,0.43614188,
P00120,NA,I,2.8133545,3.4434795,8.118358,-1.1647401,1.5458202,0.35340098,
P00121,NA,I,2.3759391,4.7128687,6.87747,-0.34629175,1.4518063,-0.13017544,
P00122,NA,I,2.7445493,4.1824074,7.2092576,-0.5348502,1.5483905,-0.07576687,
P00123,NA,I,2.8628109,3.7808285,8.827706,-1.345963,1.592582,0.4656662,
P00125,NA,I,3.114629,4.4208903,8.166256,-1.058475,1.4657251,0.12184793,
P00126,NA,I,2.9850695,5.6056504,7.188967,-0.46102157,1.007988,-0.54635197,
P00127,NA,I,2.726707,3.6034741,7.4343,-0.81443584,1.5412148,-0.030674502,
P00409,alpha conotoxin,I,,,,,,,
