mapped_id,Name (existing or suggested),Major group,Species,Major taxon for the purposes of this study,x,y,z
AAA,-,3FTx,Calliophis bivirgatus,Elapidae,12.10539,4.594649,6.52838
AAB,-,3FTx,Erythrolamprus poecilogyrus,Colubridae,10.950944,4.50997,6.1398454
AAC,-,3FTx,Boiga irregularis,Colubridae,10.155398,5.6783237,5.3529925
AAD,-,3FTx,Boiga nigriceps,Colubridae,9.956116,5.6958733,5.3154974
AAE,-,3FTx,Telescopus dhara,Colubridae,9.9989605,5.5642447,5.331903
AAF,-,3FTx,Boiga cynodon,Colubridae,9.742763,5.5232058,5.0659966
AAG,-,3FTx,Boiga dendrophila dendrophila,Colubridae,9.797718,5.6395445,5.245541
AAH,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,9.682905,5.4335237,5.0095024
AAI,-,3FTx,Heterodon nasicus,Colubridae,10.399062,5.4714084,5.338192
AAJ,-,3FTx,Heterodon nasicus,Colubridae,10.355691,5.3057823,5.543849
AAK,-,3FTx,Thelotornis mossambicanus,Colubridae,10.954919,6.1585484,8.417261
AAL,-,3FTx,Micrurus mipartitus ,Elapidae,12.092093,3.7296448,5.094685
AAM,-,3FTx,Micrurus surinamensis ,Elapidae,12.147479,4.0022783,5.3355765
AAN,-,3FTx,Micrurus frontalis,Elapidae,12.201177,3.8620777,5.1393056
AAO,-,3FTx,Dendroaspis polylepis ,Elapidae,10.659917,2.4876876,6.3601017
AAP,-,3FTx,Dendroaspis angusticeps ,Elapidae,10.529848,2.6240795,6.2158265
AAQ,-,3FTx,Dendroaspis viridis ,Elapidae,10.92649,2.9607391,6.597509
AAR,-,3FTx,Dendroaspis jamesoni jamesoni ,Elapidae,10.569809,2.8579302,6.3770814
AAS,-,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae,10.582416,2.906981,6.3380966
AAT,-,3FTx,Dendroaspis angusticeps ,Elapidae,10.488322,2.7888184,6.2138486
AAU,-,3FTx,Micrurus altirostris,Elapidae,10.654079,2.9614398,6.2908983
AAV,-,3FTx,Micrurus fulvius,Elapidae,10.448999,2.894107,6.033313
AAW,-,3FTx,Dendroaspis viridis ,Elapidae,10.261444,3.1753225,5.9777927
AAX,-,3FTx,Walterinnesia aegyptia ,Elapidae,10.587439,3.3996897,5.805524
AAY,-,3FTx,Bungarus candidus ,Elapidae,10.455984,3.1550097,5.8524
AAZ,-,3FTx,Psammophis schokari ,Psammophiidae,11.393516,4.9913387,5.3532085
ABA,-,3FTx,Rhabdophis subminiatus ,Colubridae,10.492212,5.7818327,6.279025
ABB,-,3FTx,Rhabdophis subminiatus ,Colubridae,10.540117,5.746001,5.992215
ABC,-,3FTx,Ahaetulla prasina ,Colubridae,11.908576,4.689486,6.047675
ABD,-,3FTx,Ahaetulla prasina ,Colubridae,11.519605,4.3384542,5.392606
ABE,-,3FTx,Ahaetulla prasina ,Colubridae,11.646074,4.560028,5.395855
ABF,-,3FTx,Spilotes sulphureus ,Colubridae,11.457128,4.5473337,5.6897545
ABG,-,3FTx,Trimorphodon biscutatus ,Colubridae,11.657638,4.3160057,5.9200616
ABH,-,3FTx,Thrasops jacksonii ,Colubridae,10.827606,4.880405,5.273836
ABI,-,3FTx,Rhabdophis subminiatus ,Colubridae,11.17482,5.106908,5.2622147
ABJ,-,3FTx,Thelotornis mossambicanus ,Colubridae,11.293145,5.0351696,5.5389285
ABK,-,3FTx,Dispholidus typus ,Colubridae,11.41992,5.179595,5.340935
ABL,-,3FTx,Thelotornis mossambicanus ,Colubridae,11.471547,4.656498,5.612035
ABM,-,3FTx,Thelotornis mossambicanus ,Colubridae,11.375912,4.7859855,5.505742
ABN,-,3FTx,Hypsiglena sp ,Colubridae,10.585211,5.2908225,5.085849
ABO,-,3FTx,Dispholidus typus ,Colubridae,10.303375,4.9562073,5.377031
ABP,-,3FTx,Thelotornis mossambicanus ,Colubridae,10.225778,5.059814,5.4190416
ABQ,-,3FTx,Spilotes sulphureus ,Colubridae,9.887353,5.568257,5.2335496
ABR,-,3FTx,Boiga trigonata ,Colubridae,9.86236,5.4985805,5.150729
ABS,-,3FTx,Boiga irregularis ,Colubridae,10.07238,5.595135,5.253917
ABT,-,3FTx,Heterodon nasicus ,Colubridae,10.496901,5.1087284,5.226104
ABU,-,3FTx,Heterodon nasicus ,Colubridae,10.436069,4.9959273,5.55806
ABV,-,3FTx,Erythrolamprus poecilogyrus ,Colubridae,10.224853,5.2753043,5.096962
ABW,-,3FTx,Erythrolamprus poecilogyrus ,Colubridae,10.780654,5.4268017,4.9576187
ABX,-,3FTx,Helicops leopardinus ,Colubridae,10.705617,4.45688,4.920946
ABY,-,3FTx,Helicops leopardinus ,Colubridae,10.713641,4.490368,5.2735157
ABZ,-,3FTx,Helicops leopardinus ,Colubridae,11.05337,5.001673,4.826927
ACA,-,3FTx,Helicops leopardinus ,Colubridae,10.926823,5.0934167,4.7811327
ACB,-,3FTx,Helicops leopardinus ,Colubridae,10.549413,4.474736,4.71099
ACC,-,3FTx,Phalotris mertensi ,Colubridae,10.43821,4.790009,5.018857
ACD,-,3FTx,Phalotris mertensi ,Colubridae,10.65723,5.0381384,5.0338573
ACE,-,3FTx,Helicops leopardinus ,Colubridae,10.873953,4.8634458,4.9945817
ACF,-,3FTx,Helicops leopardinus ,Colubridae,9.3434105,1.5950619,0.7312356
ACG,-,3FTx,Helicops leopardinus ,Colubridae,9.460667,1.5467937,0.95199794
ACH,-,3FTx,Helicops leopardinus ,Colubridae,10.908831,5.1386886,5.245996
ACI,-,3FTx,Helicops leopardinus ,Colubridae,10.980293,5.141607,4.824427
ACJ,-,3FTx,Rhabdophis subminiatus ,Colubridae,11.25483,4.9806795,6.691756
ACK,-,3FTx,Walterinnesia aegyptia ,Elapidae,11.933825,3.647359,6.2953825
ACL,-,3FTx,Bungarus candidus ,Elapidae,12.46195,3.4924083,6.0908957
ACM,-,3FTx,Bungarus flaviceps ,Elapidae,12.303356,3.1651576,6.094359
ACN,-,3FTx,Bungarus fasciatus ,Elapidae,12.187451,4.1007295,6.560165
ACO,-,3FTx,Bungarus candidus ,Elapidae,12.432139,4.356498,6.599427
ACP,-,3FTx,Bungarus candidus ,Elapidae,12.496223,4.372617,6.517248
ACQ,-,3FTx,Bungarus candidus ,Elapidae,12.394084,4.416576,6.6828146
ACR,-,3FTx,Ophiophagus hannah ,Elapidae,12.154233,2.9209583,6.6122565
ACS,-,3FTx,Naja kaouthia ,Elapidae,11.703221,3.2781084,6.9199295
ACT,-,3FTx,Naja atra ,Elapidae,11.9814825,3.3302135,7.171815
ACU,-,3FTx,Naja sputatrix ,Elapidae,11.658342,3.7511077,7.1731505
ACV,-,3FTx,Naja atra ,Elapidae,12.2695265,3.0943682,6.5023146
ACW,-,3FTx,Naja sputatrix ,Elapidae,12.013482,3.1007738,6.5024276
ACX,-,3FTx,Micrurus corallinus ,Elapidae,11.101769,3.3807397,5.002683
ACY,-,3FTx,Bungarus flaviceps ,Elapidae,10.938879,3.239441,5.3888726
ACZ,-,3FTx,Bungarus candidus ,Elapidae,11.04762,3.2706926,5.3574758
ADA,-,3FTx,Bungarus multicinctus ,Elapidae,11.149575,3.3532374,5.4614806
ADB,-,3FTx,Atractaspis aterrima ,Atractaspididae,11.613505,5.1069016,5.823225
ADC,-,3FTx,Atractaspis aterrima ,Atractaspididae,11.44591,4.747609,6.508594
ADD,-,3FTx,Atractaspis aterrima ,Atractaspididae,11.825591,5.7705774,7.486268
ADE,-,3FTx,Atractaspis aterrima ,Atractaspididae,11.904839,6.029297,7.774677
ADF,-,3FTx,Atractaspis aterrima ,Atractaspididae,11.616186,5.3121786,7.094264
ADG,-,3FTx,Ahaetulla prasina ,Colubridae,10.6000805,5.5792923,6.799451
ADH,-,3FTx,Ahaetulla prasina ,Colubridae,10.698175,6.113676,7.225021
ADI,-,3FTx,Ahaetulla prasina ,Colubridae,10.6450615,5.9650245,6.943833
ADJ,-,3FTx,Ahaetulla prasina ,Colubridae,10.7053385,5.749095,6.6644397
ADK,-,3FTx,Ahaetulla prasina ,Colubridae,10.76881,5.6107273,6.685036
ADL,-,3FTx,Ahaetulla prasina ,Colubridae,10.714808,5.634851,6.7434406
ADM,-,3FTx,Rhabdophis subminiatus ,Colubridae,11.023114,5.28941,8.156588
ADN,-,3FTx,Thrasops jacksonii ,Colubridae,10.842658,5.587115,8.204126
ADO,-,3FTx,Thelotornis mossambicanus ,Colubridae,10.999413,5.729231,8.06669
ADP,-,3FTx,Rhabdophis subminiatus ,Colubridae,11.144766,5.412162,7.9252586
ADQ,-,3FTx,Thrasops jacksonii ,Colubridae,10.903305,5.4714403,8.077548
ADR,-,3FTx,Rhabdophis subminiatus ,Colubridae,10.984366,5.3054137,7.943797
ADS,-,3FTx,Dispholidus typus ,Colubridae,10.34228,6.290729,8.069628
ADT,-,3FTx,Thelotornis mossambicanus ,Colubridae,10.61078,6.2566824,8.258992
ADU,-,3FTx,Thelotornis mossambicanus ,Colubridae,10.688077,6.347067,8.181589
ADV,-,3FTx,Thrasops jacksonii ,Colubridae,10.45427,6.3611584,7.855719
ADW,-,3FTx,Rhabdophis subminiatus ,Colubridae,10.711422,6.23287,7.8767824
ADX,-,3FTx,Dispholidus typus ,Colubridae,10.528862,6.392656,7.8379674
ADY,-,3FTx,Thelotornis mossambicanus ,Colubridae,10.504322,6.666329,8.135954
ADZ,-,3FTx,Thelotornis mossambicanus ,Colubridae,10.557915,6.3622684,7.836743
AEA,-,3FTx,Telescopus dhara ,Colubridae,10.977536,6.753503,7.9784217
AEB,-,3FTx,Telescopus dhara ,Colubridae,10.832631,6.6407638,7.736482
AEC,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.448529,7.622718,10.407955
AED,-,3FTx,Boiga trigonata ,Colubridae,9.195664,7.4036784,9.610792
AEE,-,3FTx,Boiga dendrophila dendrophila,Colubridae,9.528674,7.3438215,9.236203
AEF,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,9.622395,7.2845273,9.158548
AEG,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.282417,7.4801702,9.785677
AEH,-,3FTx,Boiga nigriceps ,Colubridae,8.1705,7.389827,9.616997
AEI,-,3FTx,Boiga trigonata ,Colubridae,7.834264,7.876733,10.646301
AEJ,-,3FTx,Boiga trigonata ,Colubridae,8.236769,7.8722744,10.601153
AEK,-,3FTx,Boiga irregularis ,Colubridae,7.692248,8.317688,11.076476
AEL,-,3FTx,Boiga nigriceps ,Colubridae,7.927918,8.081239,11.135094
AEM,-,3FTx,Boiga irregularis ,Colubridae,7.578751,7.977419,10.861981
AEN,-,3FTx,Boiga irregularis ,Colubridae,7.6900344,8.037615,11.13809
AEO,-,3FTx,Boiga irregularis ,Colubridae,7.4429536,8.205322,10.693458
AEP,-,3FTx,Boiga irregularis ,Colubridae,7.145088,7.051723,11.401073
AEQ,-,3FTx,Boiga irregularis ,Colubridae,7.350798,7.136564,11.216782
AER,-,3FTx,Boiga irregularis ,Colubridae,7.1495256,6.850009,11.29369
AES,-,3FTx,Boiga irregularis ,Colubridae,7.7128096,7.0994635,10.271521
AET,-,3FTx,Boiga irregularis ,Colubridae,7.9453425,7.3372927,10.432739
AEU,-,3FTx,Boiga dendrophila dendrophila,Colubridae,8.767754,7.391544,10.533123
AEV,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,8.869602,7.438726,10.262004
AEW,-,3FTx,Boiga dendrophila gemmicincta,Colubridae,8.251264,7.8197813,10.978754
AEX,-,3FTx,Boiga dendrophila dendrophila,Colubridae,7.686512,7.4797173,11.467113
AEY,-,3FTx,Spilotes sulphureus ,Colubridae,11.112392,5.8159275,7.9328513
AEZ,-,3FTx,Spilotes sulphureus ,Colubridae,11.058928,5.947425,7.852082
AFA,-,3FTx,Spilotes sulphureus ,Colubridae,11.328657,5.955867,8.016286
AFB,-,3FTx,Coelognathus radiatus ,Colubridae,11.417086,6.878689,9.084418
AFC,-,3FTx,Trimorphodon biscutatus ,Colubridae,7.298938,6.3833733,9.766619
AFD,-,3FTx,Trimorphodon lambda ,Colubridae,7.325873,6.476016,10.796656
AFE,-,3FTx,Trimorphodon lambda ,Colubridae,7.511042,6.7050443,10.817821
AFF,-,3FTx,Trimorphodon biscutatus ,Colubridae,7.421449,6.641641,10.760492
AFG,-,3FTx,Boiga trigonata ,Colubridae,7.2937193,6.837239,9.702638
AFH,-,3FTx,Boiga dendrophila dendrophila,Colubridae,7.334992,6.946722,10.030451
AFI,-,3FTx,Telescopus dhara ,Colubridae,7.393572,6.785097,9.402118
AFJ,-,3FTx,Oxybelis fulgidus ,Colubridae,7.2714844,6.7725883,9.735422
AFK,-,3FTx,Spilotes sulphureus ,Colubridae,7.3945465,6.3163733,10.598329
AFL,-,3FTx,Spilotes sulphureus ,Colubridae,7.1096115,6.2093596,10.688607
AFM,-,3FTx,Spilotes sulphureus ,Colubridae,7.328618,6.3504953,10.759997
AFN,-,3FTx,Spilotes sulphureus ,Colubridae,7.218145,6.4212065,10.567562
AFO,-,3FTx,Spilotes sulphureus ,Colubridae,7.1009746,6.27789,10.793283
AFP,-,3FTx,Trimorphodon lambda ,Colubridae,7.024876,6.644732,10.8737545
AFQ,-,3FTx,Spilotes sulphureus ,Colubridae,7.1040435,6.4525623,10.977347
AFR,-,3FTx,Spilotes sulphureus ,Colubridae,6.925978,6.446084,10.867594
AFS,-,3FTx,Spilotes sulphureus ,Colubridae,7.061157,6.410164,10.541726
AFT,-,3FTx,Spilotes sulphureus ,Colubridae,7.1244984,6.620597,10.469174
AFU,-,3FTx,Spilotes sulphureus ,Colubridae,7.247903,6.7264333,10.172025
AFV,-,3FTx,Boiga dendrophila ,Colubridae,7.159097,6.867129,9.531311
AFW,-,3FTx,Boiga irregularis ,Colubridae,7.4170165,7.2433248,9.713377
AFX,-,3FTx,Boiga irregularis ,Colubridae,7.86607,6.68874,9.259604
AFY,-,3FTx,Boiga irregularis ,Colubridae,7.582888,6.9191217,9.385293
AFZ,-,3FTx,Boiga trigonata ,Colubridae,7.37759,6.8049536,9.137385
AGA,-,3FTx,Boiga cynodon ,Colubridae,7.3219156,6.813001,9.286061
AGB,-,3FTx,Boiga nigriceps ,Colubridae,7.4307103,6.784316,9.13541
AGC,-,3FTx,Boiga irregularis ,Colubridae,7.527449,6.645908,9.077833
AGD,-,3FTx,Boiga nigriceps ,Colubridae,7.5224338,6.9111404,9.0558
AGE,-,3FTx,Boiga irregularis ,Colubridae,7.6914816,6.954472,9.277647
AGF,-,3FTx,Protobothrops flavoviridis ,Viperidae,10.901815,4.197238,6.3147306
AGG,-,snake genomic,Protobothrops mucrosquamatus ,Viperidae,10.807366,4.6579685,6.4355006
AGH,-,3FTx,Sistrurus catenatus edwardsii,Viperidae,11.202513,3.899103,6.4449387
AGI,-,3FTx,Crotalus adamanteus ,Viperidae,11.367794,4.316451,6.48628
AGJ,-,3FTx,Leioheterodon madagascariensis ,Pseudoxyrhophiidae,10.867844,4.3750553,5.930127
AGK,-,3FTx,Psammophis subtaeniatus ,Psammophiidae,11.588646,5.3739605,6.149872
AGL,-,3FTx,Psammophis schokari ,Psammophiidae,11.727115,5.2540135,6.243719
AGM,-,3FTx,Psammophis schokari ,Psammophiidae,11.693573,5.253809,6.428164
AGN,-,3FTx,Psammophis schokari ,Psammophiidae,11.742159,5.2193007,6.27967
AGO,-,3FTx,Psammophis subtaeniatus ,Psammophiidae,11.723586,4.8269367,6.237672
AGP,-,3FTx,Malpolon monspessulanus ,Psammophiidae,11.402155,4.8865366,6.1781354
AGQ,-,3FTx,Azemiops feae ,Viperidae,10.990961,5.338602,5.757613
AGR,-,3FTx,Vipera transcaucasiana ,Viperidae,10.730974,5.2295938,5.690661
AGS,-,3FTx,Vipera transcaucasiana ,Viperidae,10.952228,5.3780065,5.6298957
AGT,-,3FTx,Vipera transcaucasiana ,Viperidae,10.9950905,5.3741784,5.4662247
AGU,-,3FTx,Vipera transcaucasiana ,Viperidae,10.891852,5.2237825,5.706523
AGV,-,3FTx,Pseudocerastes urarachnoides ,Viperidae,10.812469,5.12022,5.593415
AGW,-,3FTx,Pseudocerastes urarachnoides ,Viperidae,10.92379,4.9122343,5.9142394
AGX,-,3FTx,Sistrurus catenatus edwardsii,Viperidae,11.319604,4.016527,6.1686883
AGY,-,snake genomic,Protobothrops mucrosquamatus ,Viperidae,10.890841,3.8027444,5.4418154
AGZ,-,3FTx,Crotalus adamanteus ,Viperidae,11.202736,4.3449583,5.5623984
AHA,Toxin S6C6 ,3FTx,Dendroaspis jamesoni kaimosae ,Elapidae,10.583393,3.0922668,6.403948
AHB,Actiflagelin ,3FTx,Walterinnesia aegyptia ,Elapidae,10.726202,3.1614673,5.7467704
AHC,Bucandin ,3FTx,Bungarus candidus ,Elapidae,10.497417,3.129574,5.7791996
AHD,Probable weak neurotoxin 3FTxLio1 ,3FTx,Erythrolamprus poecilogyrus ,Colubridae,10.928322,4.4656973,6.139871
AHE,Threefinger toxin 3 ,3FTx,Sistrurus catenatus edwardsii ,Viperidae,11.367924,3.725148,6.3801265
