uid,dset,x,y,z
AAA,3FTx,13.186788,9.821172,6.751498
AAB,3FTx,13.158007,9.94261,7.101858
AAC,3FTx,14.026152,10.538858,6.1509113
AAD,3FTx,14.10948,10.994421,6.1333904
AAE,3FTx,13.926882,10.442895,6.202251
AAF,3FTx,13.597404,11.032863,6.009116
AAG,3FTx,13.879405,11.047844,6.10175
AAH,3FTx,13.760539,10.931227,5.9091864
AAI,3FTx,13.931713,10.9810295,6.458287
AAJ,3FTx,13.709035,10.919517,6.6087036
AAK,3FTx,13.716852,8.188824,6.452867
AAL,3FTx,13.188031,10.613253,6.196515
AAM,3FTx,13.206814,10.325297,6.4359956
AAN,3FTx,13.341659,10.610569,6.3216114
AAO,3FTx,14.519795,8.297308,6.290992
AAP,3FTx,14.375186,8.078023,6.306155
AAQ,3FTx,13.969497,8.809848,6.4424295
AAR,3FTx,13.750705,8.601007,6.577789
AAS,3FTx,14.1190605,8.440354,6.3480268
AAT,3FTx,14.150508,8.288179,6.6139636
AAU,3FTx,14.107013,8.297272,6.48703
AAV,3FTx,14.088649,8.382281,6.4446197
AAW,3FTx,13.824782,8.615634,6.402667
AAX,3FTx,14.093505,8.7544,6.118601
AAY,3FTx,14.023013,8.487558,6.22647
AAZ,3FTx,13.475896,11.066133,6.444325
ABA,3FTx,13.875727,11.322203,5.5976715
ABB,3FTx,14.05846,11.046032,5.6602583
ABC,3FTx,12.910722,9.660382,6.5250244
ABD,3FTx,13.624831,10.813567,6.004089
ABE,3FTx,13.189021,10.630038,6.184845
ABF,3FTx,13.256947,10.143918,6.2851624
ABG,3FTx,13.156761,9.267105,6.4514
ABH,3FTx,13.596075,9.751597,6.131019
ABI,3FTx,13.414315,9.723782,6.1860714
ABJ,3FTx,13.370018,9.921778,5.9140177
ABK,3FTx,13.317564,9.8479,5.7153187
ABL,3FTx,13.184696,9.606304,6.3313627
ABM,3FTx,12.998098,9.65319,6.078386
ABN,3FTx,13.907024,10.603168,6.0689287
ABO,3FTx,13.69819,10.874386,5.6198754
ABP,3FTx,13.624554,10.755561,5.7537484
ABQ,3FTx,14.195024,11.21905,6.0800815
ABR,3FTx,13.761627,11.182692,5.955584
ABS,3FTx,13.940877,10.792314,6.162955
ABT,3FTx,13.751915,10.35439,6.1139817
ABU,3FTx,13.937956,10.714952,6.155773
ABV,3FTx,14.047837,11.10843,5.912629
ABW,3FTx,13.658336,10.55695,5.2941866
ABX,3FTx,14.012533,10.398883,5.4361467
ABY,3FTx,14.078169,10.568141,5.5489836
ABZ,3FTx,14.026971,10.000359,6.175101
ACA,3FTx,13.9165945,10.122801,6.03859
ACB,3FTx,14.1926985,10.767579,5.752548
ACC,3FTx,14.227827,10.749939,5.9390955
ACD,3FTx,14.086194,10.481167,5.769074
ACE,3FTx,13.6462145,9.8550005,5.565507
ACF,3FTx,13.781243,10.172918,5.196021
ACG,3FTx,13.697908,10.078312,5.1497345
ACH,3FTx,13.866676,10.398977,5.888828
ACI,3FTx,13.770253,10.340461,5.6627245
ACJ,3FTx,13.399832,9.450397,6.5529137
ACK,3FTx,13.073993,8.272129,6.023885
ACL,3FTx,12.920003,8.653516,6.0181556
ACM,3FTx,12.768536,8.130645,5.7746143
ACN,3FTx,12.821535,8.715335,6.043195
ACO,3FTx,12.620685,8.649083,5.7684565
ACP,3FTx,12.655379,8.522858,5.7820916
ACQ,3FTx,12.786224,8.497769,5.8462133
ACR,3FTx,13.492872,8.877188,5.9849744
ACS,3FTx,13.239119,8.181365,6.1649547
ACT,3FTx,13.48413,8.296525,6.2942123
ACU,3FTx,13.321068,8.620559,6.5205116
ACV,3FTx,13.082834,7.963219,5.696734
ACW,3FTx,13.003045,7.8807216,6.154152
ACX,3FTx,13.211149,9.278705,6.1182485
ACY,3FTx,13.754668,9.307344,6.0945024
ACZ,3FTx,13.132878,9.054558,5.9317036
ADA,3FTx,13.086285,9.204095,6.082405
ADB,3FTx,13.03454,9.3116,6.2912326
ADC,3FTx,13.398936,9.989164,6.8740997
ADD,3FTx,12.820035,9.706788,6.156683
ADE,3FTx,12.8006525,9.61279,6.3095503
ADF,3FTx,13.178664,9.973758,6.014163
ADG,3FTx,13.012013,10.75193,8.367875
ADH,3FTx,13.365749,11.097219,7.867561
ADI,3FTx,12.887031,10.962178,8.279396
ADJ,3FTx,12.782064,10.722042,8.1400585
ADK,3FTx,12.828868,10.696547,8.270413
ADL,3FTx,12.592809,10.688057,8.273991
ADM,3FTx,12.509807,10.630028,8.899471
ADN,3FTx,12.778395,10.863345,8.670332
ADO,3FTx,12.620281,10.425013,8.553281
ADP,3FTx,12.71168,10.49185,8.630107
ADQ,3FTx,12.728452,10.691524,8.709781
ADR,3FTx,12.464779,10.5232315,8.579213
ADS,3FTx,13.310066,10.342423,7.8717794
ADT,3FTx,13.066652,10.570725,8.066712
ADU,3FTx,13.29099,10.439172,7.7644706
ADV,3FTx,13.209703,10.270938,7.894471
ADW,3FTx,13.077052,10.193227,7.8866844
ADX,3FTx,12.904908,10.409088,7.873711
ADY,3FTx,13.110275,10.459966,7.9947653
ADZ,3FTx,12.974323,10.405545,7.7441487
AEA,3FTx,13.106963,10.824124,7.6700454
AEB,3FTx,13.022036,10.712486,7.8008013
AEC,3FTx,12.930296,11.356988,8.991965
AED,3FTx,12.98135,11.036488,8.009828
AEE,3FTx,12.697073,11.021416,8.048627
AEF,3FTx,12.653701,10.894404,8.061805
AEG,3FTx,12.40391,11.495037,8.893747
AEH,3FTx,12.473635,11.267537,8.97213
